Wavenumbers From Black & Dishoeck 1987
lam(vac)   WN(vac)   strength name
24134.384  4143.4660   0.81 1-0Q(2)
24065.914  4155.25469  1.59 1-0Q(1)
23864.942  4190.247    0.47 3-2S(2)
23556.088  4245.187    0.42 2-1S(0)
23455.183  4263.450    0.08 9-7O(4)
23445.367  4265.235    0.13 4-3S(3)
23224.612  4305.777    0.07 10-8Q(1)
22870.499  4372.445    0.23 3-2S(2)
22536.583  4437.230    0.16 9-7O(3)
22477.173  4448.958    0.89 2-1S(1)
22232.898  4497.8391   0.73 2-0S(0)
22107.436  4523.365    0.13 8-6O(5)
22013.863  4542.592    0.28 3-2S(3)
21726.605  4602.652    0.08 9-7O(2)
21542.118  4642.069    0.44 2-1S(2)
21279.901  4699.270    0.09 3-2S(4)
21218.334  4712.9054   1.60 1-0S(1)
21215.500  4713.535    0.12 8-6O(4)
21090.145  4741.551    0.05 7-5O(6)
21006.312  4760.474    0.09 9-7Q(3)
20840.684  4798.307    0.07 9-7Q(2)
20734.697  4822.834    0.56 2-1S(3)
20731.615  4823.551    0.15 9-7Q(1)
20699.622  4831.006    0.07 12-9O(3)
20655.588  4841.305    0.11 3-2S(5)
20417.785  4897.691    0.26 8-6O(3)
20337.576  4917.0069   0.80 1-0S(2)
21660.9    1.0         1.0  BrG     
23220.4    1.0         0.1  [CaVIII]
       
       
       
