           1.06    1.0000
          -0.95    0.00  
 4397.000  1.0563  0.9609
 4397.020  1.0276  0.9654
 4397.040  1.0261  0.9595
 4397.060  1.0257  0.9594
 4397.080  1.0300  0.9624
 4397.100  1.0347  0.9666
 4397.120  1.0380  0.9668
 4397.140  1.0397  0.9681
 4397.160  1.0406  0.9686
 4397.180  1.0393  0.9688
 4397.200  1.0322  0.9689
 4397.220  1.0168  0.9692
 4397.240  0.9953  0.9679
 4397.260  0.9760  0.9688
 4397.280  0.9681  0.9696
 4397.300  0.9751  0.9692
 4397.320  0.9918  0.9655
 4397.340  1.0069  0.9634
 4397.360  1.0141  0.9659
 4397.380  1.0165  0.9684
 4397.400  1.0214  0.9670
 4397.420  1.0312  0.9661
 4397.440  1.0416  0.9660
 4397.460  1.0464  0.9679
 4397.480  1.0442  0.9703
 4397.500  1.0403  0.9707
 4397.520  1.0415  0.9711
 4397.540  1.0504  0.9725
 4397.560  1.0614  0.9701
 4397.580  1.0655  0.9697
 4397.600  1.0596  0.9716
 4397.620  1.0493  0.9731
 4397.640  1.0427  0.9738
 4397.660  1.0426  0.9740
 4397.680  1.0433  0.9736
 4397.700  1.0386  0.9735
 4397.720  1.0301  0.9717
 4397.740  1.0257  0.9707
 4397.760  1.0331  0.9706
 4397.780  1.0499  0.9709
 4397.800  1.0631  0.9717
 4397.820  1.0611  0.9734
 4397.840  1.0451  0.9721
 4397.860  1.0273  0.9694
 4397.880  1.0196  0.9682
 4397.900 -1.0000  0.9665
 4397.920 -1.0000  0.9641
 4397.940 -1.0000  0.9609
 4397.960 -1.0000  0.9510
 4397.980 -1.0000  0.9328
 4398.000 -1.0000  0.9186
 4398.020 -1.0000  0.9279
 4398.040 -1.0000  0.9478
 4398.060 -1.0000  0.9587
 4398.080  1.0600  0.9621
 4398.100  1.0552  0.9631
 4398.120  1.0446  0.9632
 4398.140  1.0422  0.9619
 4398.160  1.0481  0.9576
 4398.180  1.0508  0.9521
 4398.200  1.0444  0.9441
 4398.220  1.0385  0.9288
 4398.240  1.0432  0.8951
 4398.260  1.0504  0.8619
 4398.280  1.0418  0.8640
 4398.300  1.0166  0.8697
 4398.320  0.9979  0.8432
 4398.340  1.0056  0.7732
 4398.360  1.0267  0.7028
 4398.380  1.0359  0.7443
 4398.400  1.0362  0.8457
 4398.420  1.0446  0.9035
 4398.440  1.0563  0.9302
 4398.460  1.0567  0.9438
 4398.480  1.0477  0.9510
 4398.500  1.0401  0.9572
 4398.520  1.0378  0.9620
 4398.540  1.0360  0.9649
 4398.560  1.0298  0.9656
 4398.580  1.0211  0.9646
 4398.600  1.0188  0.9637
 4398.620  1.0290  0.9655
 4398.640  1.0474  0.9676
 4398.660  1.0620  0.9692
 4398.680  1.0634  0.9689
 4398.700  1.0532  0.9672
 4398.720  1.0426  0.9630
 4398.740  1.0415  0.9580
 4398.760  1.0498  0.9592
 4398.780  1.0601  0.9656
 4398.800  1.0645  0.9696
 4398.820  1.0606  0.9711
 4398.840  1.0520  0.9722
 4398.860  1.0446  0.9734
 4398.880  1.0412  0.9740
 4398.900  1.0401  0.9735
 4398.920  1.0387  0.9724
 4398.940  1.0388  0.9717
 4398.960  1.0442  0.9702
 4398.980  1.0539  0.9686
 4399.000 -1.0000  0.9666
 4399.020 -1.0000  0.9649
 4399.040 -1.0000  0.9595
 4399.060 -1.0000  0.9472
 4399.080 -1.0000  0.9296
 4399.100 -1.0000  0.9195
 4399.120 -1.0000  0.9310
 4399.140 -1.0000  0.9487
 4399.160 -1.0000  0.9568
 4399.180  1.0436  0.9582
 4399.200  1.0315  0.9545
 4399.220  1.0035  0.9547
 4399.240  0.9830  0.9605
 4399.260  0.9847  0.9660
 4399.280  1.0040  0.9689
 4399.300  1.0241  0.9699
 4399.320  1.0319  0.9700
 4399.340  1.0274  0.9703
 4399.360  1.0211  0.9702
 4399.380  1.0226  0.9700
 4399.400  1.0308  0.9689
 4399.420  1.0377  0.9676
 4399.440  1.0375  0.9678
 4399.460  1.0325  0.9685
 4399.480  1.0314  0.9685
 4399.500  1.0392  0.9681
 4399.520  1.0516  0.9672
 4399.540  1.0597  0.9675
 4399.560  1.0580  0.9662
 4399.580  1.0491  0.9602
 4399.600  1.0392  0.9512
 4399.620  1.0319  0.9508
 4399.640  1.0285  0.9586
 4399.660  1.0287  0.9637
 4399.680  1.0304  0.9636
 4399.700  1.0324  0.9597
 4399.720  1.0360  0.9537
 4399.740  1.0423  0.9434
 4399.760  1.0474  0.9219
 4399.780  1.0422  0.9051
 4399.800  1.0249  0.9165
 4399.820  1.0099  0.9395
 4399.840  1.0116  0.9490
 4399.860  1.0272  0.9530
 4399.880  1.0435  0.9574
 4399.900  1.0521  0.9606
 4399.920  1.0544  0.9602
 4399.940  1.0574  0.9588
 4399.960  1.0638  0.9580
 4399.980  1.0683  0.9543
 4400.000  1.0618  0.9477
 4400.020  1.0425  0.9410
 4400.040  1.0248  0.9296
 4400.060  1.0290  0.9061
 4400.080 -1.0000  0.8627
 4400.100 -1.0000  0.8323
 4400.120 -1.0000  0.8610
 4400.140 -1.0000  0.9035
 4400.160 -1.0000  0.9065
 4400.180 -1.0000  0.8951
 4400.200 -1.0000  0.9013
 4400.220 -1.0000  0.9204
 4400.240 -1.0000  0.9334
 4400.260  1.0413  0.9393
 4400.280  1.0396  0.9385
 4400.300  1.0283  0.9271
 4400.320  1.0184  0.9084
 4400.340  1.0112  0.8876
 4400.360  1.0090  0.8620
 4400.380  1.0204  0.7989
 4400.400  1.0380  0.7103
 4400.420  1.0413  0.7106
 4400.440  1.0338  0.7893
 4400.460  1.0341  0.8313
 4400.480  1.0413  0.8166
 4400.500 -1.0000  0.7482
 4400.520 -1.0000  0.6436
 4400.540 -1.0000  0.5458
 4400.560 -1.0000  0.4701
 4400.580 -1.0000  0.5138
 4400.600 -1.0000  0.6789
 4400.620 -1.0000  0.8122
 4400.640  1.0736  0.8757
 4400.660  1.0665  0.9075
 4400.680  1.0608  0.9251
 4400.700  1.0630  0.9369
 4400.720  1.0705  0.9432
 4400.740  1.0727  0.9456
 4400.760  1.0627  0.9466
 4400.780  1.0458  0.9471
 4400.800  1.0330  0.9454
 4400.820  1.0334  0.9384
 4400.840  1.0473  0.9167
 4400.860  1.0629  0.8850
 4400.880  1.0667  0.8795
 4400.900  1.0597  0.9053
 4400.920  1.0541  0.9276
 4400.940  1.0546  0.9350
 4400.960  1.0544  0.9331
 4400.980  1.0488  0.9304
 4401.000  1.0449  0.9339
 4401.020  1.0515  0.9299
 4401.040  1.0606  0.9151
 4401.060  1.0536  0.9170
 4401.080  1.0262  0.9349
 4401.100  0.9971  0.9485
 4401.120  0.9917  0.9526
 4401.140  1.0159  0.9499
 4401.160 -1.0000  0.9448
 4401.180 -1.0000  0.9365
 4401.200 -1.0000  0.9284
