           1.0000  1.0000
          -0.98    0.00  
 4547.000  0.9753  0.9494
 4547.020  0.9720  0.9497
 4547.040  0.9675  0.9623
 4547.060  0.9685  0.9617
 4547.080  0.9733  0.9563
 4547.100  0.9768  0.9395
 4547.120  0.9718  0.9286
 4547.140  0.9574  0.9482
 4547.160  0.9439  0.9655
 4547.180  0.9425  0.9736
 4547.200  0.9556  0.9745
 4547.220  0.9785  0.9742
 4547.240  1.0025  0.9728
 4547.260  1.0181  0.9758
 4547.280  1.0202  0.9755
 4547.300  1.0107  0.9697
 4547.320  0.9949  0.9555
 4547.340  0.9763  0.9416
 4547.360  0.9582  0.9514
 4547.380  0.9463  0.9720
 4547.400  0.9425  0.9737
 4547.420  0.9411  0.9766
 4547.440  0.9397  0.9736
 4547.460  0.9431  0.9579
 4547.480  0.9543  0.9356
 4547.500  0.9704  0.9316
 4547.520  0.9882  0.9512
 4547.540  1.0060  0.9661
 4547.560  1.0178  0.9682
 4547.580  1.0150  0.9674
 4547.600  0.9980  0.9705
 4547.620  0.9783  0.9750
 4547.640  0.9668  0.9651
 4547.660  0.9669  0.9672
 4547.680  0.9751  0.9597
 4547.700  0.9838  0.9477
 4547.720  0.9853  0.9465
 4547.740  0.9807  0.9575
 4547.760  0.9791  0.9771
 4547.780  0.9862  0.9805
 4547.800  0.9962  0.9854
 4547.820  1.0001  0.9889
 4547.840  0.9964  0.9940
 4547.860  0.9900  0.9897
 4547.880  0.9869  0.9892
 4547.900  0.9889  0.9852
 4547.920  0.9931  0.9873
 4547.940  0.9949  0.9826
 4547.960  0.9927  0.9766
 4547.980  0.9889  0.9646
 4548.000  0.9869  0.9532
 4548.020  0.9888  0.9598
 4548.040  0.9956  0.9694
 4548.060  1.0051  0.9738
 4548.080  1.0126  0.9751
 4548.100  1.0168  0.9671
 4548.120  1.0179  0.9567
 4548.140  1.0153  0.9517
 4548.160  1.0096  0.9642
 4548.180  1.0029  0.9672
 4548.200  0.9975  0.9695
 4548.220  0.9960  0.9557
 4548.240  0.9986  0.9348
 4548.260  1.0007  0.9229
 4548.280  1.0003  0.9435
 4548.300  1.0015  0.9620
 4548.320  1.0059  0.9682
 4548.340  1.0091  0.9710
 4548.360  1.0071  0.9649
 4548.380  1.0004  0.9663
 4548.400  0.9922  0.9648
 4548.420  0.9858  0.9685
 4548.440  0.9826  0.9688
 4548.460  0.9829  0.9669
 4548.480  0.9866  0.9641
 4548.500  0.9939  0.9568
 4548.520  1.0022  0.9469
 4548.540  1.0068  0.9429
 4548.560  1.0058  0.9447
 4548.580  1.0024  0.9463
 4548.600  1.0007  0.9386
 4548.620  0.9999  0.9232
 4548.640  0.9946  0.9095
 4548.660  0.9814  0.8916
 4548.680  0.9629  0.8648
 4548.700  0.9481  0.8184
 4548.720  0.9475  0.7602
 4548.740  0.9628  0.6932
 4548.760  0.9814  0.6626
 4548.780  0.9874  0.6741
 4548.800  0.9798  0.7289
 4548.820  0.9694  0.7697
 4548.840  0.9629  0.7952
 4548.860  0.9605  0.8046
 4548.880  0.9622  0.7981
 4548.900  0.9660  0.7738
 4548.920 -1.0000  0.7315
 4548.940 -1.0000  0.6672
 4548.960 -1.0000  0.5703
 4548.980 -1.0000  0.4520
 4549.000 -1.0000  0.3173
 4549.020 -1.0000  0.2122
 4549.040 -1.0000  0.2149
 4549.060 -1.0000  0.3050
 4549.080 -1.0000  0.4469
 4549.100 -1.0000  0.5828
 4549.120 -1.0000  0.6903
 4549.140 -1.0000  0.7637
 4549.160  1.0134  0.8144
 4549.180  1.0069  0.8544
 4549.200  0.9950  0.8786
 4549.220  0.9789  0.9008
 4549.240  0.9632  0.9161
 4549.260  0.9532  0.9245
 4549.280  0.9525  0.9345
 4549.300  0.9617  0.9393
 4549.320  0.9779  0.9527
 4549.340  0.9937  0.9497
 4549.360  0.9998  0.9553
 4549.380  0.9931  0.9638
 4549.400  0.9806  0.9625
 4549.420  0.9718  0.9644
 4549.440  0.9731  0.9621
 4549.460  0.9837  0.9635
 4549.480  0.9962  0.9693
 4549.500  1.0032  0.9773
 4549.520  1.0019  0.9822
 4549.540  0.9959  0.9839
 4549.560  0.9914  0.9819
 4549.580  0.9933  0.9849
 4549.600  1.0016  0.9877
 4549.620  1.0090  0.9799
 4549.640  1.0070  0.9895
 4549.660  0.9956  0.9862
 4549.680  0.9817  0.9891
 4549.700  0.9725  0.9871
 4549.720  0.9711  0.9892
 4549.740  0.9745  0.9933
 4549.760  0.9777  0.9929
 4549.780  0.9774  0.9912
 4549.800  0.9756  0.9930
 4549.820  0.9775  0.9917
 4549.840  0.9861  0.9984
 4549.860  0.9986  0.9972
 4549.880  1.0074  0.9942
 4549.900  1.0067  0.9944
 4549.920  0.9997  0.9942
 4549.940  0.9942  0.9908
 4549.960  0.9956  0.9927
 4549.980  1.0023  0.9887
 4550.000  1.0085  0.9906
 4550.020  1.0104  0.9891
 4550.040  1.0096  0.9856
 4550.060  1.0103  0.9818
 4550.080  1.0150  0.9873
 4550.100  1.0217  0.9876
 4550.120  1.0233  0.9919
 4550.140  1.0135  0.9934
 4550.160  0.9947  0.9938
 4550.180  0.9766  0.9990
 4550.200  0.9701  0.9947
 4550.220  0.9777  0.9944
 4550.240  0.9916  0.9893
 4550.260  1.0017  0.9940
 4550.280  1.0032  0.9904
 4550.300  0.9982  0.9954
 4550.320  0.9930  0.9904
 4550.340  0.9925  0.9941
 4550.360  0.9970  0.9926
 4550.380  1.0036  0.9983
 4550.400  1.0093  0.9973
 4550.420  1.0113  0.9995
 4550.440  1.0090  0.9948
 4550.460  1.0045  0.9964
 4550.480  0.9995  0.9787
 4550.500  0.9928  0.9700
 4550.520  0.9845  0.9655
 4550.540  0.9796  0.9751
 4550.560  0.9789  0.9598
 4550.580  0.9758  0.9718
 4550.600  0.9686  0.9866
 4550.620  0.9624  0.9891
 4550.640  0.9600  0.9909
