            .9800  1.0000
          -1.04    0.00  
 4797.000  0.9557  0.9039
 4797.020  0.9401  0.8671
 4797.040  0.9126  0.8381
 4797.060  0.9153  0.7579
 4797.080  0.9311  0.6998
 4797.100  0.9381  0.7419
 4797.120  0.9410  0.8505
 4797.140  0.9560  0.9088
 4797.160  0.9763  0.9460
 4797.180  0.9843  0.9699
 4797.200  0.9752  0.9787
 4797.220  0.9557  0.9870
 4797.240  0.9365  0.9950
 4797.260  0.9261  0.9967
 4797.280  0.9272  1.0029
 4797.300  0.9377  1.0036
 4797.320  0.9520  1.0033
 4797.340  0.9636  1.0051
 4797.360  0.9682  1.0041
 4797.380  0.9667  1.0096
 4797.400  0.9623  1.0029
 4797.420  0.9587  1.0026
 4797.440  0.9582  1.0012
 4797.460  0.9603  0.9927
 4797.480  0.9617  0.9979
 4797.500  0.9622  1.0022
 4797.520  0.9631  0.9999
 4797.540  0.9656  1.0068
 4797.560  0.9701  1.0045
 4797.580  0.9734  0.9995
 4797.600  0.9712  1.0010
 4797.620  0.9638  0.9948
 4797.640  0.9557  0.9815
 4797.660  0.9485  0.9614
 4797.680  0.9405  0.9548
 4797.700  0.9339  0.9801
 4797.720  0.9345  0.9931
 4797.740  0.9426  1.0018
 4797.760  0.9525  1.0050
 4797.780  0.9591  1.0050
 4797.800  0.9603  1.0063
 4797.820  0.9557  1.0032
 4797.840  0.9448  1.0030
 4797.860  0.9295  1.0007
 4797.880  0.9155  1.0012
 4797.900  0.9092  0.9921
 4797.920  0.9115  0.9845
 4797.940  0.9157  0.9772
 4797.960  0.9119  0.9633
 4797.980  0.8918  0.9420
 4798.000  0.8575  0.9050
 4798.020  0.8302  0.8668
 4798.040  0.8377  0.8001
 4798.060  0.8766  0.7108
 4798.080  0.9109  0.7239
 4798.100  0.9241  0.8234
 4798.120  0.9320  0.8983
 4798.140  0.9442  0.9368
 4798.160  0.9531  0.9656
 4798.180  0.9543  0.9778
 4798.200  0.9507  0.9881
 4798.220  0.9458  0.9898
 4798.240  0.9425  0.9947
 4798.260  0.9430  0.9968
 4798.280  0.9480  0.9972
 4798.300  0.9566  0.9997
 4798.320  0.9663  0.9872
 4798.340  0.9729  0.9730
 4798.360  0.9713  0.9529
 4798.380  0.9631  0.9650
 4798.400  0.9607  0.9923
 4798.420  0.9734  0.9967
 4798.440  0.9924  1.0029
 4798.460  1.0024  1.0084
 4798.480  0.9968  1.0092
 4798.500  0.9796  1.0083
 4798.520  0.9612  1.0068
 4798.540  0.9504  1.0053
 4798.560  0.9488  1.0060
 4798.580  0.9535  1.0044
 4798.600  0.9611  0.9976
 4798.620  0.9712  0.9968
 4798.640  0.9853  0.9907
 4798.660  0.9996  0.9832
 4798.680  1.0034  0.9707
 4798.700  0.9890  0.9498
 4798.720  0.9649  0.9185
 4798.740  0.9552  0.8578
 4798.760  0.9707  0.7722
 4798.780  0.9902  0.7383
 4798.800  0.9946  0.8145
 4798.820  0.9913  0.8931
 4798.840  0.9888  0.9365
 4798.860  0.9816  0.9599
 4798.880  0.9675  0.9739
 4798.900  0.9547  0.9770
 4798.920  0.9508  0.9837
 4798.940  0.9534  0.9780
 4798.960  0.9529  0.9748
 4798.980  0.9448  0.9788
 4799.000  0.9348  0.9718
 4799.020  0.9314  0.9618
 4799.040  0.9328  0.9406
 4799.060  0.9313  0.9572
 4799.080  0.9275  0.9821
 4799.100  0.9279  0.9903
 4799.120  0.9348  0.9894
 4799.140  0.9466  0.9862
 4799.160  0.9597  0.9767
 4799.180  0.9674  0.9730
 4799.200  0.9654  0.9818
 4799.220  0.9575  0.9977
 4799.240  0.9513  1.0031
 4799.260  0.9495  1.0046
 4799.280  0.9512  1.0121
 4799.300  0.9556  1.0137
 4799.320  0.9619  1.0140
 4799.340  0.9692  1.0127
 4799.360  0.9771  1.0109
 4799.380  0.9840  1.0052
 4799.400  0.9883  1.0099
 4799.420  0.9898  1.0043
 4799.440  0.9874  1.0013
 4799.460  0.9813  1.0065
 4799.480  0.9728  1.0001
 4799.500  0.9618  0.9999
 4799.520  0.9492  0.9947
 4799.540  0.9401  0.9895
 4799.560  0.9389  0.9737
 4799.580  0.9442  0.9618
 4799.600  0.9482  0.9554
 4799.620  0.9426  0.9508
 4799.640  0.9245  0.9297
 4799.660  0.9043  0.8912
 4799.680  0.9006  0.8176
 4799.700  0.9134  0.7159
 4799.720  0.9189  0.7009
 4799.740  0.9113  0.8024
 4799.760  0.9130  0.8873
 4799.780  0.9307  0.9365
 4799.800  0.9460  0.9624
 4799.820  0.9457  0.9797
 4799.840  0.9337  0.9904
 4799.860  0.9216  0.9987
 4799.880  0.9179  1.0019
 4799.900  0.9234  1.0046
 4799.920  0.9337  1.0078
 4799.940  0.9431  1.0070
 4799.960  0.9480  1.0144
 4799.980  0.9484  1.0138
 4800.000  0.9466  1.0191
 4800.020  0.9452  1.0168
 4800.040  0.9462  1.0159
 4800.060  0.9511  1.0215
 4800.080  0.9599  1.0149
 4800.100  0.9682  1.0117
 4800.120  0.9718  1.0147
 4800.140  0.9716  1.0147
 4800.160  0.9711  1.0143
 4800.180  0.9724  1.0128
 4800.200  0.9757  1.0106
 4800.220  0.9790  1.0081
 4800.240  0.9797  1.0014
 4800.260  0.9779  1.0013
 4800.280  0.9762  0.9912
 4800.300  0.9745  0.9832
 4800.320  0.9697  0.9749
 4800.340  0.9600  0.9657
 4800.360  0.9464  0.9337
 4800.380  0.9303  0.8845
 4800.400  0.9210  0.8419
 4800.420  0.9311  0.7886
 4800.440  0.9517  0.7312
 4800.460  0.9599  0.7693
 4800.480  0.9553  0.8512
 4800.500  0.9563  0.9200
 4800.520  0.9677  0.9528
 4800.540  0.9786  0.9712
 4800.560  0.9819  0.9883
 4800.580  0.9813  0.9976
 4800.600  0.9820  0.9965
 4800.620  0.9847  0.9990
 4800.640  0.9876  1.0016
 4800.660  0.9895  1.0091
 4800.680  0.9902  1.0080
 4800.700  0.9901  1.0114
 4800.720  0.9899  1.0056
 4800.740  0.9889  1.0045
 4800.760  0.9857  1.0051
 4800.780  0.9801  1.0122
 4800.800  0.9726  1.0064
 4800.820  0.9620  1.0014
 4800.840  0.9490  1.0023
 4800.860  0.9377  0.9972
 4800.880  0.9316  0.9937
 4800.900  0.9289  0.9744
 4800.920  0.9246  0.9596
 4800.940  0.9175  0.9450
 4800.960  0.9129  0.9222
 4800.980  0.9176  0.9058
 4801.000  0.9334  0.8795
 4801.020  0.9558  0.8761
 4801.040  0.9771  0.8770
 4801.060  0.9878  0.8799
 4801.080  0.9818  0.9046
 4801.100  0.9687  0.9482
 4801.120  0.9634  0.9513
 4801.140  0.9678  0.9577
 4801.160  0.9761  0.9664
 4801.180  0.9840  0.9672
 4801.200  0.9879  0.9667
 4801.220  0.9860  0.9600
 4801.240  0.9781  0.9352
 4801.260  0.9628  0.8975
 4801.280  0.9454  0.8738
 4801.300  0.9443  0.8414
 4801.320  0.9683  0.7875
 4801.340  0.9953  0.7550
 4801.360  1.0018  0.8195
 4801.380  0.9964  0.8961
 4801.400  0.9962  0.9400
 4801.420  0.9996  0.9583
 4801.440  0.9999  0.9807
 4801.460  0.9998  0.9883
 4801.480  1.0045  0.9981
 4801.500  1.0134  1.0013
 4801.520  1.0219  1.0087
 4801.540  1.0246  1.0059
 4801.560  1.0188  1.0098
 4801.580  1.0068  1.0085
 4801.600  0.9922  1.0065
 4801.620  0.9764  1.0055
 4801.640  0.9600  1.0010
 4801.660  0.9466  0.9997
 4801.680  0.9443  0.9888
 4801.700  0.9590  0.9714
 4801.720  0.9832  0.9441
 4801.740  1.0001  0.9554
 4801.760  1.0019  0.9859
 4801.780  0.9919  0.9963
 4801.800  0.9760  1.0042
 4801.820  0.9626  1.0082
 4801.840  0.9612  1.0011
 4801.860  0.9741  0.9973
 4801.880  0.9927  0.9888
 4801.900  1.0035  0.9783
 4801.920  0.9986  0.9813
 4801.940  0.9852  0.9888
 4801.960  0.9780  0.9906
 4801.980  0.9835  0.9895
 4802.000  0.9943  0.9838
 4802.020  0.9967  0.9690
 4802.040  0.9849  0.9466
 4802.060  0.9710  0.9064
 4802.080  0.9687  0.8357
 4802.100  0.9724  0.7954
 4802.120  0.9727  0.8435
 4802.140  0.9747  0.9181
 4802.160  0.9818  0.9518
 4802.180  0.9836  0.9747
 4802.200  0.9752  0.9912
 4802.220  0.9679  0.9977
 4802.240  0.9723  0.9974
 4802.260  0.9853  1.0039
 4802.280  0.9948  1.0046
 4802.300  0.9890  1.0039
 4802.320  0.9684  1.0030
 4802.340  0.9477  0.9888
 4802.360  0.9411  0.9711
 4802.380  0.9471  0.9445
 4802.400  0.9537  0.9641
 4802.420  0.9565  0.9905
 4802.440  0.9597  1.0007
 4802.460  0.9662  1.0052
 4802.480  0.9756  1.0055
 4802.500  0.9857  1.0091
 4802.520  0.9932  1.0160
 4802.540  0.9944  1.0138
 4802.560  0.9887  1.0136
 4802.580  0.9794  1.0143
 4802.600  0.9709  1.0097
 4802.620  0.9635  1.0118
 4802.640  0.9538  1.0056
 4802.660  0.9388  0.9978
 4802.680  0.9225  0.9932
 4802.700  0.9145  0.9827
 4802.720  0.9219  0.9801
 4802.740  0.9444  0.9856
 4802.760  0.9741  0.9919
 4802.780  0.9985  0.9903
 4802.800  1.0084  0.9946
 4802.820  1.0019  0.9876
 4802.840  0.9839  0.9895
 4802.860  0.9616  0.9785
 4802.880  0.9405  0.9602
 4802.900  0.9288  0.9352
 4802.920  0.9342  0.8862
 4802.940  0.9470  0.8177
 4802.960  0.9458  0.8173
 4802.980  0.9292  0.8738
 4803.000  0.9171  0.9075
 4803.020  0.9171  0.9128
 4803.040  0.9186  0.9142
 4803.060  0.9186  0.9538
 4803.080  0.9263  0.9765
 4803.100  0.9426  0.9902
 4803.120  0.9556  0.9954
 4803.140  0.9542  1.0002
 4803.160  0.9395  1.0039
 4803.180  0.9235  1.0056
 4803.200  0.9174  1.0061
 4803.220  0.9214  1.0020
 4803.240  0.9253  0.9986
 4803.260  0.9191  0.9925
 4803.280  0.9039  0.9788
 4803.300  0.8937  0.9559
 4803.320  0.9051  0.9337
 4803.340  0.9380  0.8908
 4803.360  0.9704  0.8934
 4803.380  0.9828  0.9251
 4803.400  0.9737  0.9445
 4803.420  0.9523  0.9519
 4803.440  0.9313  0.9376
 4803.460  0.9228  0.9183
 4803.480  0.9290  0.8937
 4803.500  0.9421  0.8924
 4803.520  0.9544  0.9149
 4803.540  0.9645  0.9374
 4803.560  0.9743  0.9597
 4803.580  0.9830  0.9634
 4803.600  0.9857  0.9670
 4803.620  0.9790  0.9595
 4803.640  0.9653  0.9497
 4803.660  0.9503  0.9116
 4803.680  0.9398  0.8773
 4803.700  0.9394  0.8500
 4803.720  0.9482  0.8305
 4803.740  0.9554  0.8465
 4803.760  0.9548  0.9050
 4803.780  0.9514  0.9457
 4803.800  0.9482  0.9667
 4803.820  0.9433  0.9752
 4803.840  0.9376  0.9791
 4803.860  0.9362  0.9889
 4803.880  0.9428  0.9927
 4803.900  0.9531  0.9944
 4803.920  0.9596  0.9942
 4803.940  0.9585  0.9895
 4803.960  0.9512  0.9743
 4803.980  0.9418  0.9685
 4804.000  0.9357  0.9714
 4804.020  0.9371  0.9882
 4804.040  0.9452  0.9949
 4804.060  0.9533  1.0053
 4804.080  0.9565  1.0109
 4804.100  0.9555  1.0142
 4804.120  0.9533  1.0114
 4804.140  0.9531  1.0157
 4804.160  0.9563  1.0120
 4804.180  0.9612  1.0115
 4804.200  0.9647  1.0091
 4804.220  0.9654  1.0069
 4804.240  0.9641  1.0058
 4804.260  0.9645  1.0018
 4804.280  0.9720  0.9939
 4804.300  0.9881  0.9742
 4804.320  1.0047  0.9517
 4804.340  1.0111  0.9604
 4804.360  1.0073  0.9862
 4804.380  1.0016  0.9969
 4804.400  0.9971  0.9981
 4804.420  0.9925  0.9962
 4804.440  0.9879  0.9961
 4804.460  0.9844  0.9893
 4804.480  0.9811  0.9781
 4804.500  0.9787  0.9604
 4804.520  0.9794  0.9282
 4804.540  0.9791  0.8868
 4804.560  0.9718  0.8954
