           1.0600  1.0000
           0.17    0.00  
 4172.000 -1.0000  0.6020
 4172.020 -1.0000  0.5216
 4172.040 -1.0000  0.4380
 4172.060 -1.0000  0.4781
 4172.080 -1.0000  0.4905
 4172.100 -1.0000  0.4929
 4172.120 -1.0000  0.3979
 4172.140 -1.0000  0.4753
 4172.160 -1.0000  0.4514
 4172.180 -1.0000  0.4026
 4172.200 -1.0000  0.3058
 4172.220 -1.0000  0.1107
 4172.240 -1.0000  0.1053
 4172.260 -1.0000  0.1005
 4172.280 -1.0000  0.0977
 4172.300 -1.0000  0.0973
 4172.320 -1.0000  0.0985
 4172.340 -1.0000  0.0998
 4172.360 -1.0000  0.0994
 4172.380 -1.0000  0.0975
 4172.400 -1.0000  0.0969
 4172.420 -1.0000  0.1073
 4172.440 -1.0000  0.1093
 4172.460 -1.0000  0.2288
 4172.480 -1.0000  0.3549
 4172.500 -1.0000  0.4521
 4172.520 -1.0000  0.5463
 4172.540 -1.0000  0.6151
 4172.560 -1.0000  0.6700
 4172.580  1.0585  0.6993
 4172.600  1.0530  0.7208
 4172.620  1.0454  0.7346
 4172.640  1.0427  0.7545
 4172.660  1.0463  0.7761
 4172.680  1.0530  0.8064
 4172.700  1.0572  0.8275
 4172.720  1.0561  0.8365
 4172.740  1.0514  0.8264
 4172.760  1.0456  0.7996
 4172.780  1.0400  0.7634
 4172.800  1.0377  0.7337
 4172.820  1.0398  0.7173
 4172.840  1.0436  0.7359
 4172.860  1.0462  0.7740
 4172.880  1.0486  0.8158
 4172.900  1.0514  0.8501
 4172.920  1.0525  0.8663
 4172.940  1.0499  0.8613
 4172.960  1.0454  0.8404
 4172.980  1.0423  0.8153
 4173.000  1.0417  0.7989
 4173.020  1.0420  0.7997
 4173.040  1.0432  0.8187
 4173.060  1.0462  0.8494
 4173.080  1.0499  0.8807
 4173.100  1.0531  0.9019
 4173.120  1.0561  0.9064
 4173.140  1.0596  0.8947
 4173.160  1.0624  0.8731
 4173.180  1.0626  0.8508
 4173.200  1.0599  0.8363
 4173.220  1.0551  0.8342
 4173.240  1.0494  0.8445
 4173.260  1.0447  0.8632
 4173.280  1.0428  0.8844
 4173.300  1.0444  0.9030
 4173.320  1.0481  0.9158
 4173.340  1.0507  0.9224
 4173.360  1.0485  0.9242
 4173.380  1.0387  0.9237
 4173.400  1.0215  0.9230
 4173.420  0.9999  0.9237
 4173.440  0.9789  0.9262
 4173.460  0.9640  0.9298
 4173.480  0.9601  0.9332
 4173.500  0.9684  0.9350
 4173.520  0.9856  0.9345
 4173.540  1.0056  0.9314
 4173.560  1.0228  0.9270
 4173.580  1.0332  0.9230
 4173.600  1.0352  0.9215
 4173.620  1.0313  0.9234
 4173.640  1.0276  0.9283
 4173.660  1.0295  0.9340
 4173.680  1.0384  0.9378
 4173.700  1.0516  0.9375
 4173.720  1.0644  0.9330
 4173.740  1.0698  0.9262
 4173.760  1.0616  0.9204
 4173.780  1.0379  0.9186
 4173.800  1.0033  0.9208
 4173.820  0.9665  0.9239
 4173.840  0.9362  0.9225
 4173.860  0.9190  0.9111
 4173.880  0.9180  0.8876
 4173.900  0.9322  0.8554
 4173.920  0.9556  0.8231
 4173.940  0.9798  0.8015
 4173.960  0.9979  0.7993
 4173.980  1.0077  0.8191
 4174.000  1.0112  0.8555
 4174.020  1.0123  0.8973
 4174.040  1.0153  0.9315
 4174.060  1.0225  0.9489
 4174.080  1.0325  0.9482
 4174.100  1.0405  0.9356
 4174.120  1.0419  0.9215
 4174.140  1.0353  0.9153
 4174.160  1.0225  0.9204
