           1.0000  1.0000
          -0.40    0.21  
 4497.000  0.5896  1.0048
 4497.020  0.5796  0.9992
 4497.040  0.6557  0.9941
 4497.060  0.7342  0.9935
 4497.080  0.8211  0.9955
 4497.100  0.8966  0.9973
 4497.120  0.9504  0.9956
 4497.140  0.9813  0.9866
 4497.160  0.9960  0.9726
 4497.180  1.0027  0.9630
 4497.200  1.0058  0.9630
 4497.220  1.0065  0.9701
 4497.240  1.0056  0.9823
 4497.260  1.0056  0.9977
 4497.280  1.0077  1.0094
 4497.300  1.0097  1.0110
 4497.320  1.0088  1.0055
 4497.340  1.0053  1.0002
 4497.360  1.0022  0.9976
 4497.380  1.0009  0.9973
 4497.400  1.0000  0.9980
 4497.420  0.9981  0.9989
 4497.440  0.9971  1.0011
 4497.460  1.0012  1.0058
 4497.480  1.0091  1.0098
 4497.500  1.0150  1.0105
 4497.520  1.0165  1.0108
 4497.540  1.0149  1.0133
 4497.560  1.0121  1.0157
 4497.580  1.0101  1.0159
 4497.600  1.0109  1.0151
 4497.620  1.0141  1.0145
 4497.640  1.0168  1.0139
 4497.660  1.0155  1.0109
 4497.680  1.0092  1.0045
 4497.700  0.9998  0.9997
 4497.720  0.9899  1.0010
 4497.740  0.9802  1.0047
 4497.760  0.9704  1.0053
 4497.780  0.9631  1.0038
 4497.800  0.9623  1.0032
 4497.820  0.9687  1.0016
 4497.840  0.9787  0.9986
 4497.860  0.9881  0.9985
 4497.880  0.9953  1.0007
 4497.900  1.0000  1.0001
 4497.920  1.0034  0.9972
 4497.940  1.0064  0.9959
 4497.960  1.0078  0.9960
 4497.980  1.0073  0.9956
 4498.000  1.0068  0.9963
 4498.020  1.0080  1.0003
 4498.040  1.0104  1.0060
 4498.060  1.0115  1.0104
 4498.080  1.0101  1.0109
 4498.100  1.0085  1.0083
 4498.120  1.0082  1.0064
 4498.140  1.0089  1.0071
 4498.160  1.0088  1.0082
 4498.180  1.0070  1.0078
 4498.200  1.0033  1.0059
 4498.220  0.9999  1.0036
 4498.240  0.9986  1.0029
 4498.260  0.9998  1.0050
 4498.280  1.0029  1.0071
 4498.300  1.0076  1.0070
 4498.320  1.0123  1.0062
 4498.340  1.0151  1.0057
 4498.360  1.0137  1.0048
 4498.380  1.0087  1.0047
 4498.400  1.0045  1.0065
 4498.420  1.0040  1.0072
 4498.440  1.0055  1.0044
 4498.460  1.0062  1.0003
 4498.480  1.0049  0.9984
 4498.500  1.0004  1.0010
 4498.520  0.9941  1.0074
 4498.540  0.9911  1.0124
 4498.560  0.9944  1.0114
 4498.580  1.0003  1.0078
 4498.600  1.0036  1.0069
 4498.620  1.0055  1.0084
 4498.640  1.0088  1.0101
 4498.660  1.0104  1.0125
 4498.680  1.0079  1.0139
 4498.700  1.0050  1.0107
 4498.720  1.0060  1.0037
 4498.740  1.0079  0.9981
 4498.760  1.0058  0.9970
 4498.780  1.0036  1.0009
