           0.99    1.0000
          -0.41    0.22  
 4622.000  0.9501  0.9327
 4622.020  0.9640  1.0058
 4622.040  0.9642  0.9938
 4622.060  0.9684  1.0028
 4622.080  0.9689  1.0073
 4622.100  0.9637  1.0064
 4622.120  0.9551  1.0020
 4622.140  0.9460  0.9987
 4622.160  0.9397  0.9977
 4622.180  0.9397 -1.0000
 4622.200  0.9472 -1.0000
 4622.220  0.9613 -1.0000
 4622.240  0.9787 -1.0000
 4622.260  0.9904 -1.0000
 4622.280  0.9873 -1.0000
 4622.300  0.9721 -1.0000
 4622.320  0.9581 -1.0000
 4622.340  0.9531 -1.0000
 4622.360  0.9553 -1.0000
 4622.380  0.9593  1.0119
 4622.400  0.9616  1.0064
 4622.420  0.9628  1.0017
 4622.440  0.9649  0.9997
 4622.460  0.9669  0.9965
 4622.480  0.9678  0.9878
 4622.500  0.9702  0.9751
 4622.520  0.9740  0.9610
 4622.540  0.9748  0.9455
 4622.560  0.9709  0.9291
 4622.580  0.9661  0.9162
 4622.600  0.9643  0.9107
 4622.620  0.9664  0.9132
 4622.640  0.9715  0.9220
 4622.660  0.9788  0.9363
 4622.680  0.9858  0.9553
 4622.700  0.9895  0.9745
 4622.720  0.9886  0.9877
 4622.740  0.9837  0.9931
 4622.760  0.9762  0.9938
 4622.780  0.9678  0.9926
 4622.800  0.9620  0.9916
 4622.820  0.9614  0.9921
 4622.840  0.9638  0.9937
 4622.860  0.9648  0.9942
 4622.880  0.9649  0.9928
 4622.900  0.9674  0.9907
 4622.920  0.9728  0.9892
 4622.940  0.9792  0.9884
 4622.960  0.9846  0.9883
 4622.980  0.9868  0.9908
 4623.000  0.9855  0.9969
 4623.020  0.9839  1.0045
 4623.040  0.9844  1.0088
 4623.060  0.9843  1.0082
 4623.080  0.9814  1.0059
 4623.100  0.9775  1.0045
 4623.120  0.9727  1.0036
 4623.140  0.9633  1.0030
 4623.160  0.9470  1.0041
 4623.180  0.9264  1.0052
 4623.200  0.9079  1.0035
 4623.220  0.8965  1.0004
 4623.240  0.8946  1.0002
 4623.260  0.9045  1.0030
 4623.280  0.9242  1.0046
 4623.300  0.9447  1.0022
 4623.320  0.9583  0.9976
 4623.340  0.9649  0.9940
 4623.360  0.9680  0.9920
 4623.380  0.9712  0.9912
 4623.400  0.9759  0.9912
 4623.420  0.9797  0.9911
 4623.440  0.9807  0.9891
 4623.460  0.9805  0.9855
 4623.480  0.9806  0.9810
 4623.500  0.9799  0.9769
 4623.520  0.9786  0.9761
 4623.540  0.9797  0.9807
 4623.560  0.9857  0.9887
 4623.580  0.9922  0.9947
 4623.600  0.9925  0.9966
 4623.620  0.9896  0.9972
 4623.640  0.9906  0.9977
 4623.660  0.9941  0.9970
 4623.680  0.9941  0.9960
 4623.700  0.9914  0.9961
 4623.720  0.9916  0.9967
 4623.740  0.9937  0.9981
 4623.760  0.9925  1.0014
 4623.780  0.9891  1.0045
 4623.800  0.9886  1.0042
 4623.820  0.9907  1.0018
 4623.840  0.9915  1.0010
 4623.860  0.9908  1.0024
 4623.880  0.9924  1.0047
 4623.900  0.9960  1.0067
 4623.920  0.9968  1.0063
 4623.940  0.9936  1.0044
 4623.960  0.9907  1.0048
 4623.980  0.9907  1.0080
 4624.000  0.9917  1.0098
 4624.020  0.9900  1.0076
 4624.040  0.9858  1.0035
 4624.060  0.9818  1.0010
 4624.080  0.9774  1.0011
 4624.100  0.9713  1.0020
 4624.120  0.9663  1.0007
 4624.140  0.9647  0.9970
 4624.160  0.9673  0.9958
 4624.180  0.9741  0.9994
 4624.200  0.9821  1.0046
 4624.220  0.9880  1.0076
 4624.240  0.9901  1.0071
 4624.260  0.9877  1.0039
 4624.280  0.9851  0.9994
 4624.300  0.9871  0.9948
 4624.320  0.9916  0.9888
 4624.340  0.9940  0.9810
 4624.360  0.9943  0.9748
 4624.380  0.9954  0.9746
 4624.400  0.9967  0.9790
 4624.420  0.9961  0.9826
 4624.440  0.9949  0.9834
 4624.460  0.9940  0.9843
 4624.480  0.9922  0.9885
 4624.500  0.9895  0.9953
 4624.520  0.9883  1.0003
 4624.540  0.9888  0.9998
 4624.560  0.9892  0.9962
 4624.580  0.9895  0.9945
 4624.600  0.9914  0.9955
 4624.620  0.9943  0.9961
