           0.97    0.96  
          -0.43    0.23  
 4897.000  0.9460  0.9202
 4897.020  0.9523  0.9485
 4897.040  0.9676  0.9481
 4897.060  0.9637  0.9515
 4897.080  0.9561  0.9552
 4897.100  0.9608  0.9558
 4897.120  0.9727  0.9541
 4897.140  0.9775  0.9557
 4897.160  0.9747  0.9518
 4897.180  0.9670  0.9330
 4897.200  0.9528  0.9158
 4897.220  0.9418  0.9206
 4897.240  0.9461  0.9373
 4897.260  0.9573  0.9464
 4897.280  0.9607  0.9483
 4897.300  0.9594  0.9505
 4897.320  0.9635  0.9517
 4897.340  0.9686  0.9519
 4897.360  0.9671  0.9537
 4897.380  0.9642  0.9546
 4897.400  0.9643  0.9535
 4897.420  0.9626  0.9527
 4897.440  0.9567  0.9520
 4897.460  0.9496  0.9495
 4897.480  0.9398  0.9463
 4897.500  0.9243  0.9430
 4897.520  0.9075  0.9407
 4897.540  0.8965  0.9410
 4897.560  0.8923  0.9424
 4897.580  0.8936  0.9425
 4897.600  0.9030  0.9433
 4897.620  0.9196  0.9455
 4897.640  0.9356  0.9459
 4897.660  0.9473  0.9457
 4897.680  0.9564  0.9489
 4897.700  0.9609  0.9520
 4897.720  0.9591  0.9511
 4897.740  0.9591  0.9501
 4897.760  0.9662  0.9520
 4897.780  0.9714  0.9542
 4897.800  0.9666  0.9566
 4897.820  0.9578  0.9600
 4897.840  0.9521  0.9623
 4897.860  0.9474  0.9630
 4897.880  0.9440  0.9631
 4897.900  0.9500  0.9616
 4897.920  0.9635  0.9618
 4897.940  0.9709  0.9656
 4897.960  0.9679  0.9648
 4897.980  0.9614  0.9543
 4898.000  0.9538  0.9466
 4898.020  0.9481  0.9511
 4898.040  0.9510  0.9575
 4898.060  0.9608  0.9576
 4898.080  0.9675  0.9570
 4898.100  0.9715  0.9567
 4898.120  0.9811  0.9552
 4898.140  0.9901  0.9591
 4898.160  0.9828  0.9681
 4898.180  0.9633  0.9732
 4898.200 -1.0000 -1.0000
 4898.220 -1.0000 -1.0000
 4898.240 -1.0000 -1.0000
 4898.260 -1.0000 -1.0000
 4898.280 -1.0000 -1.0000
 4898.300 -1.0000 -1.0000
 4898.320 -1.0000 -1.0000
 4898.340 -1.0000 -1.0000
 4898.360 -1.0000 -1.0000
 4898.380  0.9449  0.9515
 4898.400  0.9590  0.9548
 4898.420  0.9708  0.9533
 4898.440  0.9729  0.9503
 4898.460  0.9687  0.9507
 4898.480  0.9649  0.9516
 4898.500  0.9625  0.9499
 4898.520  0.9609  0.9468
 4898.540  0.9608  0.9432
 4898.560  0.9617  0.9391
 4898.580  0.9617  0.9357
 4898.600  0.9611  0.9332
 4898.620  0.9630  0.9300
 4898.640  0.9673  0.9264
 4898.660  0.9818  0.9396
 4898.680  1.0178  0.9854
 4898.700  1.0429  1.0178
 4898.720  1.0227  0.9916
 4898.740  0.9891  0.9490
 4898.760  0.9724  0.9303
 4898.780  0.9622  0.9233
 4898.800  0.9552  0.9234
 4898.820  0.9540  0.9303
 4898.840  0.9523  0.9290
 4898.860  0.9505  0.9152
 4898.880  0.9552  0.9025
 4898.900  0.9645  0.8941
 4898.920  0.9697  0.8814
 4898.940  0.9693  0.8675
 4898.960  0.9682  0.8643
 4898.980  0.9673  0.8749
 4899.000  0.9659  0.8939
 4899.020  0.9662  0.9153
 4899.040  0.9681  0.9329
 4899.060  0.9682  0.9437
 4899.080  0.9659  0.9494
 4899.100  0.9621  0.9510
 4899.120  0.9566  0.9492
 4899.140  0.9524  0.9476
 4899.160  0.9546  0.9482
 4899.180  0.9629  0.9482
 4899.200  0.9696  0.9470
 4899.220  0.9702  0.9467
 4899.240  0.9668  0.9469
 4899.260  0.9601  0.9466
 4899.280  0.9495  0.9475
 4899.300  0.9399  0.9488
 4899.320  0.9362  0.9485
 4899.340  0.9365  0.9479
 4899.360  0.9380  0.9476
 4899.380  0.9411  0.9453
 4899.400  0.9433  0.9432
 4899.420  0.9396  0.9440
 4899.440  0.9337  0.9439
 4899.460  0.9367  0.9447
 4899.480  0.9494  0.9542
 4899.500  0.9607  0.9687
 4899.520 -1.0000 -1.0000
 4899.540 -1.0000 -1.0000
 4899.560 -1.0000 -1.0000
 4899.580 -1.0000 -1.0000
 4899.600 -1.0000 -1.0000
 4899.620 -1.0000 -1.0000
 4899.640 -1.0000 -1.0000
 4899.660 -1.0000 -1.0000
 4899.680 -1.0000 -1.0000
 4899.700  0.9431 -1.0000
 4899.720  0.9517  0.9347
 4899.740  0.9620  0.9359
 4899.760  0.9650  0.9343
 4899.780  0.9601  0.9353
 4899.800  0.9555  0.9412
 4899.820  0.9540  0.9464
 4899.840  0.9526  0.9498
 4899.860  0.9517  0.9527
 4899.880  0.9527  0.9520
 4899.900  0.9529  0.9479
 4899.920  0.9513  0.9470
 4899.940  0.9517  0.9492
 4899.960  0.9558  0.9511
 4899.980  0.9599  0.9549
 4900.000  0.9605  0.9609
 4900.020  0.9599  0.9628
 4900.040  0.9602  0.9591
 4900.060  0.9587  0.9554
 4900.080  0.9539  0.9531
 4900.100  0.9502  0.9499
 4900.120  0.9503  0.9477
 4900.140  0.9508  0.9488
 4900.160  0.9503  0.9503
 4900.180  0.9531  0.9504
 4900.200  0.9600  0.9517
 4900.220  0.9650  0.9549
 4900.240  0.9664  0.9572
 4900.260  0.9679  0.9597
 4900.280  0.9677  0.9646
 4900.300  0.9620  0.9697
 4900.320  0.9538  0.9702
 4900.340  0.9478  0.9640
 4900.360  0.9465  0.9563
 4900.380  0.9495  0.9552
 4900.400  0.9524  0.9581
 4900.420  0.9522  0.9587
 4900.440  0.9521  0.9583
 4900.460  0.9558  0.9583
 4900.480  0.9619  0.9553
 4900.500  0.9657  0.9507
 4900.520  0.9643  0.9491
 4900.540  0.9613  0.9486
 4900.560  0.9599  0.9481
 4900.580  0.9585  0.9528
 4900.600  0.9553  0.9618
 4900.620  0.9518  0.9663
 4900.640  0.9483  0.9670
 4900.660  0.9412  0.9678
 4900.680  0.9290  0.9608
 4900.700  0.9161  0.9425
 4900.720  0.9093  0.9297
 4900.740  0.9130  0.9336
 4900.760  0.9255  0.9433
 4900.780  0.9400  0.9507
 4900.800  0.9487  0.9581
 4900.820  0.9500  0.9643
 4900.840 -1.0000 -1.0000
 4900.860 -1.0000 -1.0000
 4900.880 -1.0000 -1.0000
 4900.900 -1.0000 -1.0000
 4900.920 -1.0000 -1.0000
 4900.940 -1.0000 -1.0000
 4900.960 -1.0000 -1.0000
 4900.980 -1.0000 -1.0000
 4901.000 -1.0000 -1.0000
 4901.020  0.9400  0.9431
 4901.040  0.9544  0.9514
 4901.060  0.9624  0.9571
 4901.080  0.9560  0.9592
 4901.100  0.9447  0.9582
 4901.120  0.9388  0.9543
 4901.140  0.9393  0.9519
 4901.160  0.9442  0.9527
