           0.9800  1.0000
          -0.97   -0.43  
 4497.000  0.9483  0.3765
 4497.020  0.9302  0.3347
 4497.040  0.9391  0.3362
 4497.060  0.9509  0.3412
 4497.080  0.9667  0.3562
 4497.100  0.9744  0.3830
 4497.120  0.9696  0.4353
 4497.140  0.9606  0.5223
 4497.160  0.9571  0.6324
 4497.180  0.9602  0.7410
 4497.200  0.9648  0.8320
 4497.220  0.9677  0.9005
 4497.240  0.9703  0.9461
 4497.260  0.9741  0.9711
 4497.280  0.9775  0.9824
 4497.300  0.9768  0.9881
 4497.320  0.9709  0.9930
 4497.340  0.9607  0.9982
 4497.360  0.9457  1.0030
 4497.380  0.9230  1.0059
 4497.400  0.8892  1.0075
 4497.420  0.8427  1.0079
 4497.440  0.7841  1.0045
 4497.460  0.7145  0.9972
 4497.480  0.6361  0.9876
 4497.500  0.5549  0.9765
 4497.520  0.4828  0.9692
 4497.540  0.4309  0.9722
 4497.560  0.4010  0.9857
 4497.580  0.3857  1.0026
 4497.600  0.3774  1.0137
 4497.620  0.3771  1.0120
 4497.640  0.3952  0.9977
 4497.660  0.4421  0.9795
 4497.680  0.5183  0.9640
 4497.700  0.6127  0.9525
 4497.720  0.7087  0.9480
 4497.740  0.7923  0.9491
 4497.760  0.8556  0.9426
 4497.780  0.8976  0.9172
 4497.800  0.9228  0.8768
 4497.820  0.9393  0.8370
 4497.840  0.9539  0.8149
 4497.860  0.9689  0.8220
 4497.880  0.9807  0.8550
 4497.900  0.9838  0.8953
 4497.920  0.9773  0.9256
 4497.940  0.9669  0.9404
 4497.960  0.9580  0.9423
 4497.980  0.9507  0.9396
 4498.000  0.9440  0.9411
 4498.020  0.9379  0.9477
 4498.040  0.9332  0.9563
 4498.060  0.9304  0.9635
 4498.080  0.9290  0.9679
 4498.100  0.9286  0.9717
 4498.120  0.9318  0.9771
 4498.140  0.9411  0.9814
 4498.160  0.9545  0.9839
 4498.180  0.9657  0.9887
 4498.200  0.9691  0.9964
 4498.220  0.9653  1.0029
 4498.240  0.9592  1.0013
 4498.260  0.9523  0.9893
 4498.280  0.9400  0.9761
 4498.300  0.9180  0.9720
 4498.320  0.8880  0.9747
 4498.340  0.8575  0.9770
 4498.360  0.8365  0.9756
 4498.380  0.8302  0.9697
 4498.400  0.8370  0.9622
 4498.420  0.8523  0.9574
 4498.440  0.8712  0.9529
 4498.460  0.8895  0.9441
 4498.480  0.9050  0.9348
 4498.500  0.9167  0.9336
 4498.520  0.9242  0.9435
 4498.540  0.9298  0.9573
 4498.560  0.9360  0.9661
