           0.98    0.98  
          -0.99   -0.44  
 4572.000  0.9856  0.9859
 4572.020  0.9445  0.9795
 4572.040  0.9156  0.9594
 4572.060  0.8974  0.9403
 4572.080  0.8892  0.9218
 4572.100  0.8803  0.9081
 4572.120  0.8652  0.9008
 4572.140  0.8493  0.8977
 4572.160  0.8406 -1.0000
 4572.180  0.8413 -1.0000
 4572.200  0.8457 -1.0000
 4572.220  0.8471 -1.0000
 4572.240  0.8486 -1.0000
 4572.260  0.8619 -1.0000
 4572.280  0.8939 -1.0000
 4572.300  0.9352 -1.0000
 4572.320  0.9629  1.0160
 4572.340  0.9619  1.0001
 4572.360  0.9406  0.9761
 4572.380  0.9173  0.9497
 4572.400  0.9019  0.9206
 4572.420  0.8967  0.8838
 4572.440  0.9011  0.8350
 4572.460  0.9138  0.7835
 4572.480  0.9322  0.7507
 4572.500  0.9497  0.7509
 4572.520  0.9589  0.7805
 4572.540  0.9585  0.8208
 4572.560  0.9529  0.8499
 4572.580  0.9467  0.8601
 4572.600  0.9415  0.8650
 4572.620  0.9349  0.8817
 4572.640  0.9245  0.9112
 4572.660  0.9119  0.9449
 4572.680  0.9009  0.9743
 4572.700  0.8934  0.9927
 4572.720  0.8921  0.9984
 4572.740  0.9015  0.9952
 4572.760  0.9224  0.9898
 4572.780  0.9477  0.9842
 4572.800  0.9672  0.9785
 4572.820  0.9737  0.9744
 4572.840  0.9671  0.9688
 4572.860  0.9561  0.9558
 4572.880  0.9500  0.9336
 4572.900  0.9478  0.9060
 4572.920  0.9409  0.8803
 4572.940  0.9229  0.8621
 4572.960  0.8950  0.8509
 4572.980  0.8638  0.8446
 4573.000  0.8357  0.8434
 4573.020  0.8128  0.8461
 4573.040  0.7961  0.8536
 4573.060  0.7891  0.8691
 4573.080  0.7942  0.8937
 4573.100  0.8085  0.9229
 4573.120  0.8258  0.9482
 4573.140  0.8422  0.9624
 4573.160  0.8593  0.9638
 4573.180  0.8807  0.9554
 4573.200  0.9055  0.9462
 4573.220  0.9293  0.9502
 4573.240  0.9487  0.9720
 4573.260  0.9635  0.9961
 4573.280  0.9764  1.0030
 4573.300  0.9879  0.9901
 4573.320  0.9924  0.9691
 4573.340  0.9844  0.9560
 4573.360  0.9657  0.9583
 4573.380  0.9456  0.9682
 4573.400  0.9326  0.9763
 4573.420  0.9288  0.9801
 4573.440  0.9278  0.9769
 4573.460  0.9196  0.9665
 4573.480  0.8985  0.9543
 4573.500  0.8672  0.9462
 4573.520  0.8367  0.9446
 4573.540  0.8214  0.9503
 4573.560  0.8271  0.9596
 4573.580  0.8443  0.9622
 4573.600  0.8577  0.9543
 4573.620  0.8611  0.9430
 4573.640  0.8603  0.9375
 4573.660  0.8672  0.9395
 4573.680  0.8889  0.9417
 4573.700  0.9193  0.9362
 4573.720  0.9465  0.9222
