           0.99    1.0000
          -1.00   -0.44  
 4597.000  0.9758  0.9193
 4597.020  0.9650  0.9389
 4597.040  0.9738  0.9606
 4597.060  0.9826  0.9734
 4597.080  0.9909  0.9799
 4597.100  0.9894  0.9816
 4597.120  0.9770  0.9833
 4597.140  0.9632  0.9885
 4597.160  0.9557  0.9938
 4597.180  0.9536  0.9923
 4597.200  0.9511  0.9824
 4597.220  0.9424  0.9689
 4597.240  0.9274  0.9525
 4597.260  0.9111  0.9304
 4597.280  0.8981  0.9052
 4597.300  0.8889  0.8844
 4597.320  0.8827  0.8729
 4597.340  0.8798  0.8676
 4597.360  0.8818  0.8655
 4597.380  0.8894  0.8686
 4597.400  0.8995  0.8780
 4597.420  0.9088  0.8942
 4597.440  0.9185  0.9199
 4597.460  0.9302  0.9507
 4597.480  0.9413  0.9736
 4597.500  0.9469  0.9853
 4597.520  0.9455  0.9928
 4597.540  0.9402  0.9972
 4597.560  0.9370  0.9936
 4597.580  0.9397  0.9834
 4597.600  0.9460  0.9770
 4597.620  0.9508  0.9797
 4597.640  0.9529  0.9866
 4597.660  0.9555  0.9911
 4597.680  0.9628  0.9884
 4597.700  0.9729  0.9738
 4597.720  0.9778  0.9502
 4597.740  0.9721  0.9311
 4597.760  0.9591  0.9230
 4597.780  0.9449  0.9153
 4597.800  0.9306  0.8948
 4597.820  0.9137  0.8629
 4597.840  0.8953  0.8327
 4597.860  0.8802  0.8190
 4597.880  0.8722  0.8285
 4597.900  0.8710  0.8515
 4597.920  0.8736  0.8745
 4597.940  0.8776  0.8941
 4597.960  0.8847  0.9101
 4597.980  0.8985  0.9230
 4598.000  0.9197  0.9372
 4598.020  0.9432  0.9510
 4598.040  0.9610  0.9612
 4598.060  0.9691  0.9697
 4598.080  0.9685  0.9739
 4598.100  0.9623  0.9683
 4598.120  0.9543  0.9533
 4598.140  0.9474  0.9351
 4598.160  0.9428  0.9240
 4598.180  0.9422  0.9263
 4598.200  0.9471  0.9382
 4598.220  0.9554  0.9519
 4598.240  0.9622  0.9594
 4598.260  0.9627  0.9591
 4598.280  0.9555  0.9594
 4598.300  0.9432  0.9659
 4598.320  0.9298  0.9731
 4598.340  0.9181  0.9726
 4598.360  0.9072  0.9601
 4598.380  0.8938  0.9327
 4598.400  0.8774  0.8940
 4598.420  0.8614  0.8576
 4598.440  0.8508  0.8366
 4598.460  0.8509  0.8370
 4598.480  0.8651  0.8587
 4598.500  0.8891  0.8942
 4598.520  0.9125  0.9331
 4598.540  0.9271  0.9680
 4598.560  0.9330  0.9959
 4598.580  0.9362  1.0147
 4598.600  0.9411 -1.0000
 4598.620  0.9454 -1.0000
 4598.640  0.9439 -1.0000
 4598.660  0.9349 -1.0000
 4598.680  0.9231 -1.0000
 4598.700  0.9164 -1.0000
 4598.720  0.9198 -1.0000
 4598.740  0.9319 -1.0000
 4598.760  0.9467 -1.0000
 4598.780  0.9570 -1.0000
 4598.800  0.9604  1.0483
 4598.820  0.9640  1.0319
 4598.840  0.9718  1.0119
 4598.860  0.9759  0.9978
 4598.880  0.9666  0.9940
 4598.900  0.9429  0.9953
 4598.920  0.9129  0.9964
 4598.940  0.8871  0.9981
 4598.960  0.8719  1.0019
 4598.980  0.8676  1.0063
 4599.000  0.8700  1.0092
 4599.020  0.8727  1.0085
 4599.040  0.8712  1.0044
 4599.060  0.8674  1.0001
 4599.080  0.8704  0.9967
 4599.100  0.8871  0.9915
 4599.120  0.9153  0.9826
 4599.140  0.9452  0.9724
 4599.160  0.9662  0.9625
 4599.180  0.9747  0.9524
 4599.200  0.9747  0.9422
 4599.220  0.9725  0.9302
 4599.240  0.9704  0.9168
 4599.260  0.9672  0.9083
 4599.280  0.9618  0.9117
 4599.300  0.9561  0.9253
 4599.320  0.9532  0.9402
 4599.340  0.9537  0.9502
 4599.360  0.9563  0.9569
 4599.380  0.9612  0.9638
 4599.400  0.9693  0.9715
 4599.420  0.9796  0.9797
 4599.440  0.9884  0.9890
 4599.460  0.9916  0.9999
 4599.480  0.9885  1.0120
 4599.500  0.9833  1.0210
 4599.520  0.9795  1.0209
 4599.540  0.9754  1.0076
 4599.560  0.9689  0.9847
 4599.580  0.9628  0.9659
 4599.600  0.9634  0.9628
 4599.620  0.9740  0.9731
 4599.640  0.9887  0.9862
 4599.660  0.9953  0.9949
 4599.680  0.9857  0.9981
 4599.700  0.9619  0.9976
 4599.720  0.9326  0.9973
 4599.740  0.9073  0.9976
 4599.760  0.8895  0.9930
 4599.780  0.8801  0.9816
 4599.800  0.8812  0.9660
 4599.820  0.8937  0.9449
 4599.840  0.9128  0.9166
 4599.860  0.9298  0.8865
 4599.880  0.9377  0.8627
 4599.900  0.9379  0.8457
 4599.920  0.9418  0.8314
 4599.940  0.9578  0.8221
 4599.960  0.9806  0.8262
 4599.980  0.9968  0.8445
 4600.000  0.9980  0.8656
 4600.020  0.9870  0.8800
 4600.040  0.9743 -1.0000
 4600.060  0.9679 -1.0000
 4600.080  0.9671 -1.0000
 4600.100  0.9666 -1.0000
 4600.120  0.9644 -1.0000
 4600.140  0.9627 -1.0000
 4600.160  0.9631  1.0171
 4600.180  0.9628  1.0033
 4600.200  0.9591  0.9720
 4600.220  0.9547  0.9357
 4600.240  0.9559  0.9090
 4600.260  0.9634  0.8920
 4600.280  0.9695  0.8762
 4600.300  0.9660  0.8621
 4600.320  0.9528  0.8573
 4600.340  0.9376  0.8649
 4600.360  0.9275  0.8826
 4600.380  0.9225  0.9055
 4600.400  0.9165  0.9300
 4600.420  0.9026  0.9525
 4600.440  0.8792  0.9687
 4600.460  0.8512  0.9776
 4600.480  0.8270  0.9784
 4600.500  0.8136  0.9694
 4600.520  0.8147  0.9527
 4600.540  0.8296  0.9351
 4600.560  0.8543  0.9261
 4600.580  0.8838  0.9330
 4600.600  0.9123  0.9530
 4600.620  0.9343  0.9732
 4600.640  0.9477  0.9821
 4600.660  0.9538  0.9784
 4600.680  0.9555  0.9692
 4600.700  0.9552  0.9643
 4600.720  0.9536  0.9682
 4600.740  0.9488  0.9772
 4600.760  0.9384  0.9841
 4600.780  0.9223  0.9813
 4600.800  0.9019  0.9609
 4600.820  0.8806  0.9194
 4600.840  0.8638  0.8568
 4600.860  0.8575  0.7781
 4600.880  0.8651  0.6950
 4600.900  0.8840  0.6190
 4600.920  0.9053  0.5567
 4600.940  0.9219  0.5090
 4600.960  0.9323  0.4746
 4600.980  0.9390  0.4525
 4601.000  0.9445  0.4424
 4601.020  0.9477  0.4416
 4601.040  0.9462  0.4457
 4601.060  0.9416  0.4537
 4601.080  0.9396  0.4709
 4601.100  0.9461  0.5032
 4601.120  0.9610  0.5521
 4601.140  0.9761  0.6157
 4601.160  0.9821  0.6918
 4601.180  0.9773  0.7765
 4601.200  0.9670  0.8584
 4601.220  0.9579  0.9227
 4601.240  0.9532  0.9638
 4601.260  0.9530  0.9839
 4601.280  0.9567  0.9884
 4601.300  0.9649  0.9852
 4601.320  0.9745  0.9777
 4601.340  0.9758  0.9674
 4601.360  0.9581  0.9607
 4601.380  0.9177  0.9627
 4601.400  0.8596  0.9713
 4601.420  0.7930  0.9803
 4601.440  0.7230  0.9855
