           1.0200  1.03  
           0.0200  0.6400
 4322.000  0.3388  0.9972
 4322.020  0.3147  0.9978
 4322.040  0.2991  0.9992
 4322.060  0.2860  1.0012
 4322.080  0.2783  1.0042
 4322.100  0.2765  1.0078
 4322.120  0.2804  1.0105
 4322.140  0.2907  1.0108
 4322.160  0.3095  1.0090
 4322.180  0.3362  1.0079
 4322.200  0.3717  1.0110
 4322.220  0.4195  1.0171
 4322.240  0.4794  1.0213
 4322.260  0.5473  1.0230
 4322.280  0.6194  1.0239
 4322.300  0.6927  1.0221
 4322.320  0.7638  1.0161
 4322.340  0.8268  1.0098
 4322.360  0.8758  1.0060
 4322.380  0.9125  1.0037
 4322.400  0.9420  1.0020
 4322.420  0.9649  1.0010
 4322.440  0.9800  1.0003
 4322.460  0.9893  0.9993
 4322.480  0.9954  0.9972
 4322.500  0.9989  0.9933
 4322.520  0.9991  0.9893
 4322.540  0.9976  0.9876
 4322.560  0.9960  0.9874
 4322.580  0.9912  0.9841
 4322.600  0.9837  0.9753
 4322.620  0.9776  0.9633
 4322.640  0.9748  0.9525
 4322.660  0.9772  0.9474
 4322.680  0.9843  0.9489
 4322.700  0.9911  0.9529
 4322.720  0.9957  0.9538
 4322.740  0.9993  0.9516
 4322.760  1.0015  0.9516
 4322.780  1.0026  0.9565
 4322.800  1.0042  0.9614
 4322.820  1.0068  0.9594
 4322.840  1.0083  0.9480
 4322.860  1.0081  0.9297
 4322.880  1.0057  0.9076
 4322.900  1.0022  0.8829
 4322.920  0.9996  0.8541
 4322.940  0.9970  0.8211
 4322.960  0.9937  0.7866
 4322.980  0.9917  0.7533
 4323.000  0.9908  0.7232
 4323.020  0.9887  0.6991
 4323.040  0.9867  0.6839
 4323.060  0.9859  0.6784
 4323.080  0.9854  0.6819
 4323.100  0.9850  0.6936
 4323.120  0.9840  0.7125
 4323.140  0.9833  0.7370
 4323.160  0.9824  0.7654
 4323.180  0.9768  0.7954
 4323.200  0.9686  0.8240
 4323.220  0.9620  0.8478
 4323.240  0.9530  0.8645
 4323.260  0.9394  0.8751
 4323.280  0.9275  0.8815
 4323.300  0.9239  0.8832
 4323.320  0.9287  0.8770
 4323.340  0.9355  0.8607
 4323.360  0.9408  0.8366
 4323.380  0.9472  0.8096
 4323.400  0.9547  0.7833
 4323.420  0.9573  0.7588
