           1.0000  1.0000
           0.0200  0.6500
 4347.000  0.5668  0.9732
 4347.020  0.6294  0.9932
 4347.040  0.6936  0.9956
 4347.060  0.7562  0.9932
 4347.080  0.8152  0.9875
 4347.100  0.8658  0.9784
 4347.120  0.9038  0.9610
 4347.140  0.9291  0.9408
 4347.160 -1.0000 -1.0000
 4347.180 -1.0000 -1.0000
 4347.200 -1.0000 -1.0000
 4347.220 -1.0000 -1.0000
 4347.240 -1.0000 -1.0000
 4347.260  1.0015  0.8251
 4347.280  1.0027  0.7712
 4347.300  1.0047  0.7081
 4347.320  1.0068  0.6593
 4347.340  1.0108  0.6152
 4347.360  1.0151  0.5607
 4347.380  1.0129  0.5105
 4347.400  1.0032  0.4757
 4347.420  0.9932  0.4499
 4347.440 -1.0000 -1.0000
 4347.460 -1.0000 -1.0000
 4347.480 -1.0000 -1.0000
 4347.500 -1.0000 -1.0000
 4347.520 -1.0000 -1.0000
 4347.540 -1.0000 -1.0000
 4347.560  0.9771  0.2607
 4347.580  0.9774  0.2675
 4347.600  0.9771  0.2799
 4347.620  0.9777  0.2928
 4347.640  0.9769  0.3067
 4347.660  0.9728  0.3247
 4347.680 -1.0000 -1.0000
 4347.700 -1.0000 -1.0000
 4347.720 -1.0000 -1.0000
 4347.740 -1.0000 -1.0000
 4347.760 -1.0000 -1.0000
 4347.780 -1.0000 -1.0000
 4347.800  0.9425  0.7055
 4347.820  0.9257  0.7396
 4347.840  0.9006  0.7863
 4347.860  0.8693  0.8419
 4347.880  0.8346  0.8954
 4347.900  0.7990  0.9385
 4347.920  0.7620  0.9694
 4347.940  0.7226  0.9890
 4347.960  0.6810  0.9982
 4347.980  0.6361  1.0012
 4348.000  0.5897  1.0056
 4348.020  0.5459  1.0120
 4348.040  0.5071  1.0146
 4348.060  0.4721  1.0118
 4348.080  0.4384  1.0034
 4348.100  0.4074  0.9856
 4348.120  0.3820  0.9629
 4348.140  0.3586  0.9489
 4348.160  0.3331  0.9427
 4348.180  0.3117  0.9347
 4348.200  0.3036  0.9305
 4348.220  0.3082  0.9312
 4348.240  0.3194  0.9250
 4348.260  0.3309  0.9109
 4348.280  0.3413  0.8954
 4348.300  0.3574  0.8805
 4348.320  0.3847  0.8660
 4348.340  0.4222  0.8519
 4348.360  0.4687  0.8372
 4348.380  0.5237  0.8216
 4348.400  0.5842  0.8040
 4348.420  0.6465  0.7815
 4348.440  0.7081  0.7504
 4348.460  0.7688  0.7095
 4348.480  0.8260  0.6615
 4348.500  0.8756  0.6094
 4348.520  0.9150  0.5580
 4348.540  0.9443  0.5122
 4348.560  0.9656  0.4730
 4348.580  0.9789  0.4390
 4348.600  0.9844  0.4107
 4348.620  0.9866  0.3887
 4348.640  0.9880  0.3703
 4348.660  0.9889  0.3525
 4348.680  0.9897  0.3351
 4348.700  0.9899  0.3195
 4348.720  0.9895  0.3077
 4348.740  0.9865  0.2990
 4348.760  0.9788  0.2903
 4348.780  0.9701  0.2793
 4348.800  0.9635  0.2665
 4348.820  0.9579  0.2560
 4348.840  0.9521  0.2520
 4348.860 -1.0000 -1.0000
 4348.880 -1.0000 -1.0000
 4348.900 -1.0000 -1.0000
 4348.920 -1.0000 -1.0000
 4348.940 -1.0000 -1.0000
 4348.960 -1.0000 -1.0000
 4348.980 -1.0000 -1.0000
