           0.95    0.9300
           0.0200  0.6900
 4622.000 -1.0000  0.8205
 4622.020 -1.0000  0.8194
 4622.040 -1.0000  0.8096
 4622.060 -1.0000  0.7977
 4622.080 -1.0000  0.7781
 4622.100 -1.0000  0.7528
 4622.120 -1.0000  0.7318
 4622.140 -1.0000 -1.0000
 4622.160 -1.0000 -1.0000
 4622.180 -1.0000 -1.0000
 4622.200 -1.0000 -1.0000
 4622.220 -1.0000 -1.0000
 4622.240 -1.0000 -1.0000
 4622.260 -1.0000 -1.0000
 4622.280 -1.0000 -1.0000
 4622.300 -1.0000 -1.0000
 4622.320 -1.0000 -1.0000
 4622.340 -1.0000 -1.0000
 4622.360 -1.0000 -1.0000
 4622.380 -1.0000 -1.0000
 4622.400 -1.0000  0.9003
 4622.420 -1.0000  0.9096
 4622.440  0.7960  0.9158
 4622.460  0.7995  0.9179
 4622.480  0.8021  0.9187
 4622.500  0.8072  0.9201
 4622.520  0.8172  0.9203
 4622.540  0.8313  0.9184
 4622.560  0.8455  0.9186
 4622.580  0.8575  0.9231
 4622.600  0.8664  0.9267
 4622.620  0.8708  0.9247
 4622.640  0.8687  0.9177
 4622.660  0.8606  0.9106
 4622.680  0.8485  0.9075
 4622.700  0.8335  0.9080
 4622.720  0.8180  0.9093
 4622.740  0.8038  0.9105
 4622.760  0.7875  0.9129
 4622.780  0.7668  0.9145
 4622.800  0.7471  0.9103
 4622.820  0.7325  0.9012
 4622.840  0.7254  0.8959
 4622.860  0.7278  0.8983
 4622.880  0.7380  0.9016
 4622.900  0.7546  0.8979
 4622.920  0.7801  0.8867
 4622.940  0.8117  0.8730
 4622.960  0.8400  0.8617
 4622.980  0.8612  0.8546
 4623.000  0.8791  0.8503
 4623.020  0.8948  0.8458
 4623.040  0.9065  0.8398
 4623.060  0.9150  0.8337
 4623.080  0.9208  0.8298
 4623.100  0.9231  0.8301
 4623.120  0.9248  0.8357
 4623.140  0.9269  0.8461
 4623.160  0.9282  0.8599
 4623.180  0.9310  0.8763
 4623.200  0.9343  0.8914
 4623.220  0.9354  0.8999
 4623.240  0.9354  0.9035
 4623.260  0.9355  0.9091
 4623.280  0.9349  0.9175
 4623.300  0.9346  0.9232
 4623.320  0.9356  0.9235
 4623.340  0.9374  0.9214
 4623.360  0.9389  0.9205
 4623.380  0.9379  0.9205
 4623.400  0.9357  0.9207
 4623.420  0.9365  0.9224
 4623.440  0.9365  0.9259
 4623.460  0.9301  0.9298
 4623.480  0.9215  0.9309
 4623.500  0.9163  0.9272
 4623.520  0.9127  0.9214
 4623.540  0.9081  0.9167
 4623.560  0.9043  0.9146
 4623.580  0.9025  0.9163
 4623.600  0.8991  0.9197
 4623.620  0.8917  0.9214
 4623.640  0.8837  0.9217
 4623.660  0.8786  0.9220
 4623.680  0.8743  0.9219
 4623.700  0.8665  0.9202
 4623.720  0.8564  0.9165
 4623.740  0.8501  0.9123
 4623.760  0.8501  0.9081
 4623.780  0.8540  0.9014
 4623.800  0.8607  0.8905
 4623.820  0.8714  0.8787
 4623.840  0.8857  0.8707
 4623.860  0.9008  0.8638
 4623.880  0.9143  0.8525
 4623.900  0.9255  0.8376
 4623.920  0.9341  0.8249
 4623.940  0.9394  0.8183
 4623.960  0.9423  0.8181
 4623.980  0.9436  0.8217
 4624.000  0.9423  0.8273
 4624.020  0.9398  0.8353
 4624.040  0.9374  0.8448
 4624.060  0.9353  0.8516
 4624.080  0.9369  0.8547
 4624.100  0.9401  0.8569
 4624.120  0.9394  0.8612
 4624.140  0.9375  0.8695
 4624.160  0.9362  0.8816
 4624.180  0.9359  0.8941
 4624.200  0.9387  0.9043
 4624.220  0.9402  0.9100
 4624.240  0.9393  0.9113
 4624.260  0.9405  0.9105
 4624.280  0.9405  0.9089
 4624.300  0.9374  0.9087
 4624.320  0.9362  0.9138
 4624.340  0.9376  0.9236
 4624.360  0.9389  0.9309
 4624.380  0.9378  0.9309
 4624.400  0.9330  0.9254
 4624.420  0.9262  0.9179
 4624.440  0.9197  0.9106
 4624.460  0.9143  0.9063
 4624.480  0.9076  0.9059
 4624.500  0.8986  0.9062
 4624.520  0.8906  0.9035
 4624.540  0.8844  0.8946
 4624.560  0.8775  0.8801
 4624.580  0.8692  0.8654
 4624.600  0.8586  0.8534
 4624.620  0.8480  0.8421
 4624.640  0.8426  0.8281
 4624.660  0.8427  0.8108
 4624.680  0.8479  0.7927
 4624.700  0.8586  0.7758
 4624.720  0.8721  0.7614
 4624.740  0.8852  0.7523
 4624.760  0.8970  0.7486
 4624.780  0.9060  0.7454
 4624.800  0.9105  0.7398
 4624.820  0.9107  0.7359
 4624.840  0.9098  0.7396
 4624.860  0.9120  0.7510
