           0.98    0.89  
           0.0200  0.7200
 4822.000  0.7835  0.8240
 4822.020  0.7769  0.8189
 4822.040  0.7778  0.8304
 4822.060  0.7719  0.8341
 4822.080  0.7638  0.8333
 4822.100 -1.0000 -1.0000
 4822.120 -1.0000 -1.0000
 4822.140 -1.0000 -1.0000
 4822.160 -1.0000 -1.0000
 4822.180 -1.0000 -1.0000
 4822.200 -1.0000 -1.0000
 4822.220  0.8813  0.8780
 4822.240  0.8877  0.8744
 4822.260  0.8952  0.8704
 4822.280  0.9031  0.8697
 4822.300  0.9082  0.8709
 4822.320  0.9098  0.8713
 4822.340  0.9077  0.8709
 4822.360  0.8999  0.8703
 4822.380  0.8883  0.8697
 4822.400  0.8792  0.8707
 4822.420  0.8763  0.8743
 4822.440  0.8783  0.8777
 4822.460  0.8828  0.8790
 4822.480  0.8889  0.8822
 4822.500  0.8957  0.8908
 4822.520  0.9019  0.8987
 4822.540  0.9066  0.8974
 4822.560  0.9098  0.8892
 4822.580  0.9122  0.8836
 4822.600  0.9140  0.8835
 4822.620  0.9146  0.8841
 4822.640  0.9154  0.8822
 4822.660  0.9174  0.8771
 4822.680  0.9181  0.8688
 4822.700  0.9169  0.8592
 4822.720  0.9188  0.8501
 4822.740  0.9258  0.8419
 4822.760  0.9333  0.8348
 4822.780  0.9375  0.8297
 4822.800 -1.0000 -1.0000
 4822.820 -1.0000 -1.0000
 4822.840 -1.0000 -1.0000
 4822.860 -1.0000 -1.0000
 4822.880 -1.0000 -1.0000
 4822.900 -1.0000 -1.0000
 4822.920 -1.0000 -1.0000
 4822.940 -1.0000 -1.0000
 4822.960 -1.0000 -1.0000
 4822.980 -1.0000 -1.0000
 4823.000 -1.0000 -1.0000
 4823.020 -1.0000 -1.0000
 4823.040 -1.0000 -1.0000
 4823.060 -1.0000 -1.0000
 4823.080  0.9589  0.7205
 4823.100  0.9598  0.7302
 4823.120  0.9612  0.7419
 4823.140  0.9618  0.7519
 4823.160  0.9623  0.7616
 4823.180  0.9628  0.7690
 4823.200  0.9629  0.7674
 4823.220  0.9632  0.7589
 4823.240 -1.0000 -1.0000
 4823.260 -1.0000 -1.0000
 4823.280 -1.0000 -1.0000
 4823.300 -1.0000 -1.0000
 4823.320 -1.0000 -1.0000
 4823.340  0.9419  0.8076
 4823.360  0.9409  0.7946
 4823.380  0.9455  0.7819
 4823.400 -1.0000  0.7730
 4823.420 -1.0000 -1.0000
 4823.440 -1.0000 -1.0000
 4823.460 -1.0000 -1.0000
 4823.480 -1.0000 -1.0000
 4823.500 -1.0000 -1.0000
 4823.520 -1.0000 -1.0000
 4823.540 -1.0000  0.6692
 4823.560  0.8906  0.6653
 4823.580  0.8850  0.6605
 4823.600  0.8760  0.6555
 4823.620  0.8643  0.6538
 4823.640  0.8530  0.6576
 4823.660  0.8431  0.6679
 4823.680  0.8322  0.6815
 4823.700  0.8208  0.6932
 4823.720  0.8122  0.7011
 4823.740  0.8080  0.7069
 4823.760  0.8097  0.7121
 4823.780  0.8187  0.7188
 4823.800  0.8334  0.7285
 4823.820  0.8491  0.7407
 4823.840  0.8620  0.7532
 4823.860  0.8726  0.7648
 4823.880  0.8840  0.7757
 4823.900  0.8954  0.7879
 4823.920  0.9048  0.8016
 4823.940  0.9114  0.8148
 4823.960  0.9143  0.8265
 4823.980  0.9137  0.8386
 4824.000  0.9111  0.8519
 4824.020  0.9072  0.8637
 4824.040  0.9025  0.8711
 4824.060  0.8968  0.8740
 4824.080  0.8892  0.8748
 4824.100  0.8756  0.8751
 4824.120  0.8546  0.8746
 4824.140  0.8318  0.8745
 4824.160  0.8104  0.8762
 4824.180  0.7897  0.8789
 4824.200  0.7695  0.8796
 4824.220  0.7509  0.8779
 4824.240  0.7356  0.8782
 4824.260  0.7255  0.8836
 4824.280  0.7234  0.8911
 4824.300  0.7289  0.8947
 4824.320  0.7366  0.8932
 4824.340  0.7444  0.8908
 4824.360  0.7549  0.8939
 4824.380  0.7679  0.9029
 4824.400  0.7798  0.9103
 4824.420  0.7885  0.9098
 4824.440  0.7956  0.9033
 4824.460  0.8011  0.8952
 4824.480  0.8029  0.8876
 4824.500  0.8034  0.8787
 4824.520  0.8060  0.8666
 4824.540  0.8126  0.8548
 4824.560  0.8259  0.8492
 4824.580  0.8429  0.8486
 4824.600 -1.0000 -1.0000
 4824.620 -1.0000 -1.0000
 4824.640 -1.0000 -1.0000
 4824.660 -1.0000 -1.0000
 4824.680 -1.0000 -1.0000
 4824.700 -1.0000 -1.0000
 4824.720 -1.0000 -1.0000
 4824.740 -1.0000 -1.0000
 4824.760 -1.0000 -1.0000
 4824.780 -1.0000 -1.0000
 4824.800 -1.0000 -1.0000
 4824.820 -1.0000 -1.0000
 4824.840 -1.0000 -1.0000
 4824.860 -1.0000 -1.0000
 4824.880 -1.0000 -1.0000
 4824.900 -1.0000 -1.0000
 4824.920 -1.0000 -1.0000
 4824.940  0.9701  0.6235
 4824.960  0.9663  0.6243
 4824.980  0.9588  0.6252
 4825.000  0.9515  0.6269
 4825.020  0.9480  0.6325
 4825.040  0.9507  0.6424
 4825.060  0.9570  0.6527
 4825.080  0.9607  0.6596
 4825.100  0.9610  0.6637
 4825.120  0.9600  0.6687
 4825.140  0.9580  0.6748
 4825.160  0.9562  0.6787
 4825.180  0.9552  0.6794
 4825.200  0.9532  0.6803
 4825.220  0.9505  0.6841
 4825.240  0.9503  0.6914
 4825.260  0.9520  0.7015
 4825.280  0.9508  0.7128
 4825.300  0.9457  0.7241
 4825.320  0.9402  0.7357
 4825.340  0.9348  0.7472
 4825.360  0.9299  0.7577
 4825.380  0.9286  0.7658
 4825.400  0.9281  0.7711
 4825.420  0.9217  0.7756
 4825.440  0.9099  0.7820
 4825.460  0.8989  0.7888
 4825.480  0.8902  0.7934
 4825.500  0.8798  0.7972
 4825.520  0.8658  0.8036
 4825.540  0.8500  0.8132
 4825.560  0.8327  0.8233
 4825.580  0.8136  0.8303
 4825.600  0.7936  0.8309
 4825.620  0.7729  0.8219
 4825.640  0.7511  0.8055
 4825.660  0.7325  0.7893
 4825.680  0.7219  0.7797
 4825.700  0.7210  0.7771
 4825.720  0.7284  0.7750
 4825.740  0.7417  0.7653
 4825.760  0.7585  0.7479
 4825.780  0.7757  0.7301
 4825.800  0.7899  0.7161
 4825.820  0.7984  0.7047
 4825.840  0.8001  0.6959
 4825.860  0.7961  0.6917
 4825.880  0.7886  0.6923
 4825.900  0.7794  0.6962
 4825.920  0.7730  0.7030
 4825.940  0.7725  0.7124
 4825.960  0.7756  0.7201
 4825.980  0.7784  0.7238
 4826.000 -1.0000 -1.0000
 4826.020 -1.0000 -1.0000
 4826.040 -1.0000 -1.0000
 4826.060 -1.0000 -1.0000
 4826.080 -1.0000 -1.0000
 4826.100 -1.0000 -1.0000
 4826.120 -1.0000 -1.0000
 4826.140 -1.0000 -1.0000
 4826.160 -1.0000  0.8500
 4826.180 -1.0000  0.8541
 4826.200  0.8616  0.8598
 4826.220  0.8676  0.8672
 4826.240  0.8760  0.8726
 4826.260  0.8831  0.8740
 4826.280  0.8882  0.8733
 4826.300  0.8927  0.8739
 4826.320  0.8942  0.8740
 4826.340  0.8907  0.8679
 4826.360  0.8840  0.8546
 4826.380  0.8741  0.8399
 4826.400  0.8583  0.8278
 4826.420  0.8395  0.8157
 4826.440  0.8268  0.8035
 4826.460 -1.0000 -1.0000
 4826.480 -1.0000 -1.0000
 4826.500 -1.0000 -1.0000
 4826.520 -1.0000 -1.0000
 4826.540 -1.0000 -1.0000
 4826.560 -1.0000 -1.0000
 4826.580 -1.0000 -1.0000
 4826.600 -1.0000 -1.0000
 4826.620 -1.0000 -1.0000
 4826.640 -1.0000 -1.0000
 4826.660 -1.0000 -1.0000
 4826.680 -1.0000 -1.0000
 4826.700 -1.0000 -1.0000
 4826.720 -1.0000 -1.0000
 4826.740 -1.0000 -1.0000
 4826.760 -1.0000 -1.0000
 4826.780 -1.0000 -1.0000
 4826.800  0.9004  0.7584
 4826.820  0.9075  0.7630
 4826.840  0.9178  0.7659
 4826.860  0.9247  0.7630
 4826.880  0.9249  0.7546
 4826.900  0.9256  0.7450
 4826.920  0.9295  0.7387
 4826.940  0.9308  0.7364
 4826.960  0.9303  0.7348
 4826.980  0.9333  0.7301
 4827.000  0.9369  0.7208
 4827.020  0.9364  0.7087
 4827.040  0.9350  0.6973
 4827.060  0.9370  0.6902
 4827.080  0.9406  0.6896
 4827.100  0.9431  0.6964
 4827.120  0.9444  0.7088
 4827.140  0.9448  0.7229
 4827.160  0.9458  0.7355
 4827.180  0.9481  0.7456
 4827.200  0.9483  0.7523
 4827.220  0.9435  0.7532
