           1.05    1.0000
          -0.16    0.00  
 4322.000  0.9978  0.9416
 4322.020  0.9977  0.9435
 4322.040  1.0052  0.9464
 4322.060  1.0137  0.9492
 4322.080  1.0230  0.9506
 4322.100  1.0295  0.9505
 4322.120  1.0301  0.9488
 4322.140  1.0241  0.9463
 4322.160  1.0137  0.9441
 4322.180  1.0020  0.9434
 4322.200  0.9927  0.9477
 4322.220  0.9871  0.9457
 4322.240  0.9840  0.9496
 4322.260  0.9823  0.9527
 4322.280  0.9829  0.9506
 4322.300  0.9883  0.9503
 4322.320  1.0014  0.9427
 4322.340  1.0242  0.9397
 4322.360  1.0538  0.9323
 4322.380  1.0826  0.9361
 4322.400  1.1027  0.9400
 4322.420  1.1096  0.9449
 4322.440  1.1026  0.9483
 4322.460  1.0860  0.9500
 4322.480  1.0661  0.9520
 4322.500  1.0488  0.9527
 4322.520  1.0377  0.9521
 4322.540  1.0335  0.9488
 4322.560  1.0353  0.9469
 4322.580  1.0416  0.9444
 4322.600  1.0509  0.9463
 4322.620  1.0614  0.9469
 4322.640  1.0711  0.9503
 4322.660  1.0789  0.9522
 4322.680  1.0844  0.9539
 4322.700  1.0878  0.9548
 4322.720  1.0896  0.9554
 4322.740  1.0897  0.9535
 4322.760  1.0867  0.9521
 4322.780  1.0782  0.9499
 4322.800  1.0628  0.9489
 4322.820  1.0415  0.9485
 4322.840  1.0194  0.9493
 4322.860  1.0036  0.9503
 4322.880  0.9995  0.9513
 4322.900  1.0078  0.9518
 4322.920  1.0229  0.9516
 4322.940  1.0368  0.9509
 4322.960  1.0433  0.9500
 4322.980  1.0421  0.9492
 4323.000  1.0374  0.9489
 4323.020  1.0358  0.9491
 4323.040  1.0412  0.9497
 4323.060  1.0526  0.9504
 4323.080  1.0657  0.9507
 4323.100  1.0753  0.9504
 4323.120  1.0783  0.9495
 4323.140  1.0751  0.9481
 4323.160  1.0680  0.9466
 4323.180  1.0594  0.9456
 4323.200  1.0511  0.9454
 4323.220  1.0453  0.9461
 4323.240  1.0442  0.9477
 4323.260  1.0496  0.9496
 4323.280  1.0609  0.9513
 4323.300  1.0737  0.9523
 4323.320  1.0817  0.9524
 4323.340  1.0802  0.9516
 4323.360  1.0694  0.9501
 4323.380  1.0544  0.9486
 4323.400  1.0421  0.9475
 4323.420  1.0374  0.9473
 4323.440  1.0405  0.9481
 4323.460  1.0478  0.9495
 4323.480  1.0552  0.9513
 4323.500  1.0597  0.9528
 4323.520  1.0612  0.9536
 4323.540  1.0610  0.9536
 4323.560  1.0603  0.9529
 4323.580  1.0595  0.9518
 4323.600  1.0582  0.9508
 4323.620  1.0554  0.9503
 4323.640  1.0508  0.9505
 4323.660  1.0449  0.9513
 4323.680  1.0398  0.9524
 4323.700  1.0383  0.9532
 4323.720  1.0423  0.9535
 4323.740  1.0515  0.9530
 4323.760  1.0630  0.9518
 4323.780  1.0727  0.9504
 4323.800  1.0773  0.9493
 4323.820  1.0763  0.9489
 4323.840  1.0718  0.9495
 4323.860  1.0667  0.9511
 4323.880  1.0637  0.9531
 4323.900  1.0638  0.9550
 4323.920  1.0671  0.9560
 4323.940  1.0730  0.9558
 4323.960  1.0808  0.9543
 4323.980  1.0894  0.9518
 4324.000  1.0970  0.9492
 4324.020  1.1021  0.9473
 4324.040  1.1032  0.9466
 4324.060  1.0998  0.9475
 4324.080  1.0922  0.9497
 4324.100  1.0813  0.9525
 4324.120  1.0684  0.9549
 4324.140  1.0547  0.9560
 4324.160  1.0411  0.9555
 4324.180  1.0282  0.9533
 4324.200  1.0174  0.9502
 4324.220  1.0114  0.9473
 4324.240  1.0133  0.9456
 4324.260  1.0242  0.9458
 4324.280  1.0412  0.9481
 4324.300  1.0583  0.9517
 4324.320  1.0690  0.9555
 4324.340  1.0698  0.9581
 4324.360  1.0622  0.9584
 4324.380  1.0500  0.9561
 4324.400  1.0368  0.9518
 4324.420  1.0243  0.9468
 4324.440  1.0117  0.9427
 4324.460  0.9970  0.9412
 4324.480  0.9797  0.9429
 4324.500  0.9614  0.9475
 4324.520  0.9460  0.9535
 4324.540  0.9389  0.9587
 4324.560  0.9440  0.9609
 4324.580  0.9609  0.9587
 4324.600  0.9840  0.9520
 4324.620  1.0048  0.9424
 4324.640  1.0156  0.9326
 4324.660  1.0146  0.9258
 4324.680  1.0062  0.9248
 4324.700  0.9982  0.9304
 4324.720  0.9970  0.9412
 4324.740  1.0042  0.9534
 4324.760  1.0188  0.9615
 4324.780  1.0397  0.9599
 4324.800  1.0660  0.9439
 4324.820  1.0947  0.9122
 4324.840  1.1177  0.8667
 4324.860  1.1225  0.8133
 4324.880  1.1015  0.7604
 4324.900  1.0623  0.7176
 4324.920  1.0257  0.6929
 4324.940  1.0136  0.6913
 4324.960  1.0312  0.7135
 4324.980  1.0628  0.7553
 4325.000  1.0876  0.8091
 4325.020  1.0949  0.8653
 4325.040  1.0872  0.9143
 4325.060  1.0741  0.9494
 4325.080  1.0630  0.9672
 4325.100  1.0565  0.9688
 4325.120  1.0559  0.9586
 4325.140  1.0629  0.9429
 4325.160  1.0803  0.9284
 4325.180  1.1070  0.9201
 4325.200  1.1336  0.9200
 4325.220  1.1471  0.9276
 4325.240  1.1375  0.9397
 4325.260  1.1039  0.9521
 4325.280  1.0575  0.9606
 4325.300  1.0135  0.9627
 4325.320  0.9838  0.9579
 4325.340  0.9729  0.9481
 4325.360  0.9780  0.9363
 4325.380  0.9930  0.9260
 4325.400  1.0121  0.9201
 4325.420  1.0310  0.9198
 4325.440  1.0472  0.9249
 4325.460  1.0594  0.9334
 4325.480  1.0679  0.9428
 4325.500  1.0736  0.9503
 4325.520  1.0779  0.9542
 4325.540  1.0817  0.9542
 4325.560  1.0841  0.9509
 4325.580  1.0835  0.9463
 4325.600  1.0771  0.9421
 4325.620  1.0624  0.9402
 4325.640  1.0405  0.9412
 4325.660  1.0174  0.9448
 4325.680  1.0026  0.9498
 4325.700  1.0048  0.9544
 4325.720  1.0263  0.9571
 4325.740  1.0597  0.9566
 4325.760  1.0928  0.9525
 4325.780  1.1143  0.9450
 4325.800  1.1198  0.9353
 4325.820  1.1126  0.9246
 4325.840  1.0997  0.9144
 4325.860  1.0871  0.9059
 4325.880  1.0778  0.8999
 4325.900  1.0725  0.8971
 4325.920  1.0714  0.8977
 4325.940  1.0740  0.9014
 4325.960  1.0780  0.9080
 4325.980  1.0792  0.9166
 4326.000  1.0734  0.9265
 4326.020  1.0590  0.9365
 4326.040  1.0396  0.9454
 4326.060  1.0217  0.9522
 4326.080  1.0110  0.9562
 4326.100  1.0101  0.9572
 4326.120  1.0163  0.9556
 4326.140  1.0244  0.9523
 4326.160  1.0291  0.9485
 4326.180  1.0291  0.9455
 4326.200  1.0274  0.9441
 4326.220  1.0300  0.9445
 4326.240  1.0411  0.9465
 4326.260  1.0604  0.9493
