           1.0000  1.0000
          -0.18    0.00  
 4847.000  1.0466  0.8000
 4847.020  1.0658  0.7725
 4847.040  1.0752  0.7441
 4847.060  1.0817  0.7086
 4847.080 -1.0000  0.6626
 4847.100 -1.0000  0.6005
 4847.120 -1.0000  0.5236
 4847.140 -1.0000  0.4209
 4847.160 -1.0000  0.3018
 4847.180 -1.0000  0.0659
 4847.200 -1.0000  0.0073
 4847.220 -1.0000  0.0026
 4847.240 -1.0000  0.0013
 4847.260 -1.0000  0.0041
 4847.280 -1.0000  0.0116
 4847.300 -1.0000  0.1460
 4847.320 -1.0000  0.0817
 4847.340 -1.0000  0.1695
 4847.360 -1.0000  0.2738
 4847.380 -1.0000  0.3700
 4847.400 -1.0000  0.4564
 4847.420 -1.0000  0.5213
 4847.440 -1.0000  0.5719
 4847.460 -1.0000  0.6097
 4847.480 -1.0000  0.6433
 4847.500  0.9094  0.6849
 4847.520  0.9053  0.7266
 4847.540  0.9120  0.7654
 4847.560  0.9321  0.7965
 4847.580  0.9586  0.8245
 4847.600  0.9821  0.8500
 4847.620  0.9974  0.8739
 4847.640  1.0040  0.8934
 4847.660  1.0036  0.9109
 4847.680  0.9981  0.9229
 4847.700  0.9894  0.9297
 4847.720  0.9787  0.9319
 4847.740  0.9672  0.9308
 4847.760  0.9556  0.9277
 4847.780  0.9442  0.9262
 4847.800  0.9342  0.9268
 4847.820  0.9278  0.9304
 4847.840  0.9276  0.9352
 4847.860  0.9345  0.9384
 4847.880  0.9466  0.9371
 4847.900  0.9611  0.9282
 4847.920  0.9754  0.9102
 4847.940  0.9878  0.8847
 4847.960  0.9968  0.8551
 4847.980  0.9995  0.8266
 4848.000  0.9937  0.8048
 4848.020  0.9812  0.7942
 4848.040  0.9687  0.7972
 4848.060  0.9656  0.8135
 4848.080  0.9761  0.8401
 4848.100  0.9942  0.8720
 4848.120  1.0087  0.9036
 4848.140  1.0103  0.9299
 4848.160  0.9969  0.9480
 4848.180  0.9747  0.9570
 4848.200  0.9524  0.9588
 4848.220  0.9360  0.9561
 4848.240  0.9270  0.9526
 4848.260  0.9238  0.9506
 4848.280  0.9243  0.9514
 4848.300  0.9277  0.9544
 4848.320  0.9331  0.9577
 4848.340  0.9386  0.9589
 4848.360  0.9419  0.9560
 4848.380  0.9413  0.9479
 4848.400  0.9373  0.9349
 4848.420  0.9319  0.9185
 4848.440  0.9273  0.9008
 4848.460  0.9247  0.8841
 4848.480  0.9242  0.8701
 4848.500  0.9261  0.8596
 4848.520  0.9309  0.8525
 4848.540  0.9388  0.8481
 4848.560  0.9484  0.8451
 4848.580  0.9579  0.8420
 4848.600  0.9659  0.8370
