           0.9200  1.0000
          -0.1000  0.0000
 4797.000  0.9588  0.8975
 4797.020  0.9305  0.8664
 4797.040  0.9542  0.8134
 4797.060  0.9959  0.7393
 4797.080  1.0223  0.6503
 4797.100  0.9993  0.7934
 4797.120  0.9642  0.8679
 4797.140  0.9530  0.9170
 4797.160  0.9553  0.9469
 4797.180  0.9555  0.9577
 4797.200  0.9498  0.9697
 4797.220  0.9387  0.9754
 4797.240  0.9251  0.9816
 4797.260  0.9130  0.9869
 4797.280  0.9062  0.9888
 4797.300  0.9068  0.9919
 4797.320  0.9148  0.9944
 4797.340  0.9271  0.9925
 4797.360  0.9396  0.9921
 4797.380  0.9493  0.9890
 4797.400  0.9563  0.9880
 4797.420  0.9624  0.9862
 4797.440  0.9689  0.9832
 4797.460  0.9743  0.9811
 4797.480  0.9757  0.9831
 4797.500  0.9711  0.9842
 4797.520  0.9600  0.9870
 4797.540  0.9443  0.9897
 4797.560  0.9279  0.9923
 4797.580  0.9149  0.9920
 4797.600  0.9075  0.9877
 4797.620  0.9054  0.9793
 4797.640  0.9059  0.9682
 4797.660  0.9057  0.9576
 4797.680  0.9035  0.9553
 4797.700  0.9013  0.9597
 4797.720  0.9031  0.9698
 4797.740  0.9118  0.9822
 4797.760  0.9278  0.9925
 4797.780  0.9481  0.9970
 4797.800  0.9678  0.9944
 4797.820  0.9817  0.9870
 4797.840  0.9861  0.9793
 4797.860  0.9807  0.9754
 4797.880  0.9684  0.9770
 4797.900  0.9538  0.9818
 4797.920  0.9412  0.9834
 4797.940  0.9327  0.9744
 4797.960  0.9282  0.9497
 4797.980  0.9256  0.9093
 4798.000  0.9224  0.8596
 4798.020  0.9171  0.8119
 4798.040  0.9103  0.7789
 4798.060  0.9047  0.7700
 4798.080  0.9035  0.7875
 4798.100  0.9082  0.8263
 4798.120  0.9175  0.8757
 4798.140  0.9280  0.9232
 4798.160  0.9360  0.9592
 4798.180  0.9389  0.9794
 4798.200  0.9362  0.9856
 4798.220  0.9292  0.9832
 4798.240  0.9210  0.9782
 4798.260  0.9152  0.9744
 4798.280  0.9146  0.9727
 4798.300  0.9199  0.9713
 4798.320  0.9299  0.9683
 4798.340  0.9419  0.9633
 4798.360  0.9529  0.9584
 4798.380  0.9606  0.9569
 4798.400  0.9636  0.9614
 4798.420  0.9621  0.9722
 4798.440  0.9567  0.9861
 4798.460  0.9487  0.9983
 4798.480  0.9391  1.0041
 4798.500  0.9294  1.0014
 4798.520  0.9209  0.9922
 4798.540  0.9158  0.9814
 4798.560  0.9157  0.9746
 4798.580  0.9216  0.9749
 4798.600  0.9326  0.9813
 4798.620  0.9462  0.9882
 4798.640  0.9589  0.9878
 4798.660  0.9672  0.9737
 4798.680  0.9681  0.9439
 4798.700  0.9600  0.9026
 4798.720  0.9432  0.8587
 4798.740  0.9203  0.8233
 4798.760  0.8961  0.8058
 4798.780  0.8756  0.8105
 4798.800  0.8623  0.8353
 4798.820  0.8573  0.8730
 4798.840  0.8590  0.9137
 4798.860  0.8652  0.9480
 4798.880  0.8736  0.9701
 4798.900  0.8826  0.9783
 4798.920  0.8907  0.9752
 4798.940  0.8966  0.9657
 4798.960  0.8996  0.9550
 4798.980  0.8996  0.9475
 4799.000  0.8974  0.9450
 4799.020  0.8949  0.9476
 4799.040  0.8937  0.9535
 4799.060  0.8947  0.9604
 4799.080  0.8974  0.9661
 4799.100  0.8997  0.9691
 4799.120  0.8991  0.9695
 4799.140  0.8939  0.9683
 4799.160  0.8842  0.9671
 4799.180  0.8732  0.9679
 4799.200  0.8656  0.9715
 4799.220  0.8662  0.9776
 4799.240  0.8776  0.9848
 4799.260  0.8983  0.9910
 4799.280  0.9232  0.9947
 4799.300  0.9444  0.9953
 4799.320  0.9548  0.9937
 4799.340  0.9499  0.9917
 4799.360  0.9306  0.9911
 4799.380  0.9027  0.9923
 4799.400  0.8748  0.9943
 4799.420  0.8556  0.9952
 4799.440  0.8504  0.9930
 4799.460  0.8594  0.9872
 4799.480  0.8786  0.9791
 4799.500  0.9007  0.9716
 4799.520  0.9185  0.9674
 4799.540  0.9274  0.9669
 4799.560  0.9268  0.9674
 4799.580  0.9199  0.9636
 4799.600  0.9118  0.9494
 4799.620  0.9073  0.9214
 4799.640  0.9099  0.8810
 4799.660  0.9205  0.8358
 4799.680  0.9373  0.7971
 4799.700  0.9562  0.7764
 4799.720  0.9721  0.7810
 4799.740  0.9816  0.8107
 4799.760  0.9838  0.8580
 4799.780  0.9801  0.9103
 4799.800  0.9727  0.9547
 4799.820  0.9637  0.9827
 4799.840  0.9547  0.9927
 4799.860  0.9471  0.9898
 4799.880  0.9417  0.9824
 4799.900  0.9390  0.9786
 4799.920  0.9386  0.9822
 4799.940  0.9392  0.9918
 4799.960  0.9393  1.0025
 4799.980  0.9379  1.0087
 4800.000  0.9349  1.0075
 4800.020  0.9320  0.9999
 4800.040  0.9316  0.9906
 4800.060  0.9358  0.9847
 4800.080  0.9455  0.9854
 4800.100  0.9592  0.9919
 4800.120  0.9732  1.0003
 4800.140  0.9834  1.0054
 4800.160  0.9861  1.0038
 4800.180  0.9801  0.9959
 4800.200  0.9667  0.9854
 4800.220  0.9494  0.9778
 4800.240  0.9331  0.9766
 4800.260  0.9214  0.9811
 4800.280  0.9159  0.9861
 4800.300  0.9159  0.9837
 4800.320  0.9190  0.9668
 4800.340  0.9234  0.9332
 4800.360  0.9287  0.8869
 4800.380  0.9358  0.8378
 4800.400  0.9465  0.7980
 4800.420  0.9613  0.7782
 4800.440  0.9781  0.7834
 4800.460  0.9927  0.8113
 4800.480  1.0007  0.8538
 4800.500  0.9999  0.9001
 4800.520  0.9909  0.9400
 4800.540  0.9773  0.9676
 4800.560  0.9635  0.9817
 4800.580  0.9537  0.9854
 4800.600  0.9504  0.9838
 4800.620  0.9533  0.9819
 4800.640  0.9594  0.9822
 4800.660  0.9643  0.9855
 4800.680  0.9646  0.9902
 4800.700  0.9594  0.9948
 4800.720  0.9504  0.9978
 4800.740  0.9413  0.9988
 4800.760  0.9356  0.9984
 4800.780  0.9351  0.9974
 4800.800  0.9390  0.9966
 4800.820  0.9441  0.9962
 4800.840  0.9466  0.9962
 4800.860  0.9438  0.9963
 4800.880  0.9353  0.9959
 4800.900  0.9234  0.9944
 4800.920  0.9116  0.9913
 4800.940  0.9035  0.9860
 4800.960  0.9014  0.9785
 4800.980  0.9053  0.9689
 4801.000  0.9138  0.9583
 4801.020  0.9246  0.9483
 4801.040  0.9354  0.9408
 4801.060  0.9449  0.9375
 4801.080  0.9522  0.9393
 4801.100  0.9568  0.9458
 4801.120  0.9582  0.9553
 4801.140  0.9556  0.9648
 4801.160  0.9491  0.9708
 4801.180  0.9396  0.9696
 4801.200  0.9293  0.9587
 4801.220  0.9214  0.9372
 4801.240  0.9192  0.9068
 4801.260  0.9244  0.8715
 4801.280  0.9360  0.8379
 4801.300  0.9499  0.8130
 4801.320  0.9600  0.8030
 4801.340  0.9611  0.8114
