           1.0500  1.0000
          -1.0700  0.0000
 4397.000  1.0532  0.9625
 4397.020  1.0544  0.9625
 4397.040  1.0493  0.9693
 4397.060  1.0476  0.9685
 4397.080  1.0467  0.9687
 4397.100  1.0454  0.9705
 4397.120  1.0422  0.9690
 4397.140  1.0333  0.9634
 4397.160  1.0162  0.9695
 4397.180  0.9942  0.9711
 4397.200  0.9748  0.9800
 4397.220  0.9646  0.9758
 4397.240  0.9657  0.9781
 4397.260  0.9760  0.9725
 4397.280  0.9910  0.9725
 4397.300  1.0058  0.9672
 4397.320  1.0170  0.9705
 4397.340  1.0240  0.9694
 4397.360  1.0268  0.9736
 4397.380  1.0255  0.9736
 4397.400  1.0208  0.9780
 4397.420  1.0137  0.9757
 4397.440  1.0048  0.9764
 4397.460  0.9948  0.9749
 4397.480  0.9852  0.9746
 4397.500  0.9781  0.9771
 4397.520  0.9762  0.9780
 4397.540  0.9807  0.9794
 4397.560  0.9909  0.9811
 4397.580  1.0042  0.9795
 4397.600  1.0172  0.9775
 4397.620  1.0263  0.9742
 4397.640  1.0299  0.9739
 4397.660  1.0287  0.9743
 4397.680  1.0254  0.9767
 4397.700  1.0230  0.9791
 4397.720  1.0239  0.9810
 4397.740  1.0292  0.9807
 4397.760  1.0379  0.9787
 4397.780  1.0471  0.9758
 4397.800  1.0532  0.9740
 4397.820  1.0536  0.9738
 4397.840  1.0474  0.9753
 4397.860  1.0365  0.9769
 4397.880  1.0242  0.9764
 4397.900  1.0141  0.9715
 4397.920  1.0089  0.9616
 4397.940  1.0093  0.9482
 4397.960  1.0143  0.9346
 4397.980  1.0214  0.9249
 4398.000  1.0277  0.9224
 4398.020  1.0310  0.9281
 4398.040  1.0307  0.9402
 4398.060  1.0275  0.9544
 4398.080  1.0232  0.9658
 4398.100  1.0197  0.9708
 4398.120  1.0184  0.9680
 4398.140  1.0200  0.9591
 4398.160  1.0246  0.9469
 4398.180  1.0319  0.9342
 4398.200  1.0412  0.9215
 4398.220  1.0517  0.9068
 4398.240  1.0624  0.8865
 4398.260  1.0719  0.8577
 4398.280  1.0785  0.8208
 4398.300  1.0803  0.7807
 4398.320  1.0757  0.7459
 4398.340  1.0645  0.7262
 4398.360  1.0485  0.7292
 4398.380  1.0312  0.7567
 4398.400  1.0159  0.8037
 4398.420  1.0047  0.8596
 4398.440  0.9976  0.9118
 4398.460  0.9936  0.9501
 4398.480  0.9915  0.9696
 4398.500  0.9904  0.9725
 4398.520  0.9904  0.9657
 4398.540  0.9921  0.9580
 4398.560  0.9961  0.9560
 4398.580  1.0026  0.9615
 4398.600  1.0110  0.9719
 4398.620  1.0200  0.9817
 4398.640  1.0282  0.9860
 4398.660  1.0341  0.9826
 4398.680  1.0371  0.9735
 4398.700  1.0370  0.9633
 4398.720  1.0345  0.9569
 4398.740  1.0306  0.9572
 4398.760  1.0266  0.9636
 4398.780  1.0233  0.9726
 4398.800  1.0212  0.9795
 4398.820  1.0204  0.9815
 4398.840  1.0210  0.9782
 4398.860  1.0230  0.9723
 4398.880  1.0262  0.9679
 4398.900  1.0298  0.9678
 4398.920  1.0332  0.9725
 4398.940  1.0351  0.9793
 4398.960  1.0350  0.9837
 4398.980  1.0327  0.9821
 4399.000  1.0290  0.9728
 4399.020  1.0254  0.9578
 4399.040  1.0239  0.9413
 4399.060  1.0257  0.9283
 4399.080  1.0311  0.9224
 4399.100  1.0387  0.9241
 4399.120  1.0461  0.9314
 4399.140  1.0506  0.9409
 4399.160  1.0506  0.9493
 4399.180  1.0459  0.9549
 4399.200  1.0377  0.9582
 4399.220  1.0283  0.9606
 4399.240  1.0200  0.9638
 4399.260  1.0142  0.9679
 4399.280  1.0115  0.9722
 4399.300  1.0108  0.9751
 4399.320  1.0112  0.9754
 4399.340  1.0114  0.9733
 4399.360  1.0112  0.9703
 4399.380  1.0110  0.9684
 4399.400  1.0117  0.9693
 4399.420  1.0138  0.9727
 4399.440  1.0174  0.9771
 4399.460  1.0220  0.9799
 4399.480  1.0265  0.9790
 4399.500  1.0303  0.9740
 4399.520  1.0330  0.9664
 4399.540  1.0347  0.9589
 4399.560  1.0360  0.9542
 4399.580  1.0371  0.9538
 4399.600  1.0383  0.9569
 4399.620  1.0390  0.9613
 4399.640  1.0390  0.9639
 4399.660  1.0381  0.9626
 4399.680  1.0364  0.9568
 4399.700  1.0350  0.9475
 4399.720  1.0345  0.9372
 4399.740  1.0354  0.9281
 4399.760  1.0375  0.9219
 4399.780  1.0398  0.9193
 4399.800  1.0413  0.9204
 4399.820  1.0410  0.9250
 4399.840  1.0391  0.9326
 4399.860  1.0365  0.9428
 4399.880  1.0342  0.9543
 4399.900  1.0329  0.9649
 4399.920  1.0323  0.9719
 4399.940  1.0313  0.9724
 4399.960  1.0284  0.9651
 4399.980  1.0226  0.9505
 4400.000  1.0145  0.9310
 4400.020  1.0064  0.9103
 4400.040  1.0018  0.8914
 4400.060  1.0040  0.8763
 4400.080  1.0142  0.8649
 4400.100  1.0307  0.8564
 4400.120  1.0490  0.8505
 4400.140  1.0635  0.8482
 4400.160  1.0695  0.8520
 4400.180  1.0656  0.8645
 4400.200  1.0545  0.8858
 4400.220  1.0415  0.9123
 4400.240  1.0323  0.9363
 4400.260  1.0308  0.9482
 4400.280  1.0377  0.9405
 4400.300  1.0507  0.9112
 4400.320  1.0654  0.8657
 4400.340  1.0761  0.8154
 4400.360  1.0778  0.7733
 4400.380  1.0691  0.7488
 4400.400  1.0530  0.7429
 4400.420  1.0357  0.7475
 4400.440  1.0228  0.7484
 4400.460  1.0168  0.7322
 4400.480 -1.0000  0.6923
 4400.500 -1.0000  0.6335
 4400.520 -1.0000  0.5713
 4400.540 -1.0000  0.5266
 4400.560 -1.0000  0.5176
 4400.580 -1.0000  0.5527
 4400.600 -1.0000  0.6270
 4400.620 -1.0000  0.7238
 4400.640  1.0570  0.8209
 4400.660  1.0576  0.8985
 4400.680  1.0581  0.9456
 4400.700  1.0581  0.9620
 4400.720  1.0569  0.9565
 4400.740  1.0542  0.9415
 4400.760  1.0503  0.9273
 4400.780  1.0466  0.9187
 4400.800  1.0440  0.9147
 4400.820  1.0431  0.9115
 4400.840  1.0436  0.9058
 4400.860  1.0450  0.8979
 4400.880  1.0463  0.8911
 4400.900  1.0470  0.8896
 4400.920  1.0473  0.8958
 4400.940  1.0474  0.9082
 4400.960  1.0481  0.9218
 4400.980  1.0497  0.9306
 4401.000  1.0520  0.9310
 4401.020  1.0542  0.9237
 4401.040  1.0553  0.9141
 4401.060  1.0543  0.9089
 4401.080  1.0508  0.9127
 4401.100  1.0449  0.9252
 4401.120  1.0376  0.9406
 4401.140  1.0305  0.9501
 4401.160  1.0248  0.9463
 4401.180  1.0219  0.9272
 4401.200  1.0224  0.8975
 4401.220  1.0265  0.8672
 4401.240  1.0331  0.8473
 4401.260  1.0404  0.8454
 4401.280  1.0461  0.8623
 4401.300  1.0487  0.8918
 4401.320  1.0478  0.9243
 4401.340  1.0445  0.9503
 4401.360  1.0404  0.9648
 4401.380  1.0376  0.9683
 4401.400  1.0374  0.9659
 4401.420  1.0404  0.9631
 4401.440  1.0454  0.9635
 4401.460  1.0501  0.9666
 4401.480  1.0516  0.9687
 4401.500  1.0473  0.9658
 4401.520  1.0359  0.9561
 4401.540  1.0183  0.9420
 4401.560  0.9975  0.9290
 4401.580  0.9783  0.9229
 4401.600  0.9657  0.9269
 4401.620  0.9633  0.9398
 4401.640  0.9715  0.9557
 4401.660  0.9883  0.9673
 4401.680  1.0096  0.9688
 4401.700  1.0308  0.9592
 4401.720  1.0475  0.9425
 4401.740  1.0569  0.9260
 4401.760  1.0579  0.9172
 4401.780  1.0522  0.9200
 4401.800  1.0435  0.9333
 4401.820  1.0358  0.9516
 4401.840  1.0319  0.9678
 4401.860  1.0326  0.9760
 4401.880  1.0368  0.9742
 4401.900  1.0422  0.9644
 4401.920  1.0460  0.9514
 4401.940  1.0459  0.9399
 4401.960  1.0412  0.9329
 4401.980  1.0332  0.9305
 4402.000  1.0243  0.9307
 4402.020  1.0170  0.9312
 4402.040  1.0135  0.9305
 4402.060  1.0143  0.9293
 4402.080  1.0187  0.9289
 4402.100  1.0246  0.9309
