           1.0400  1.0000
          -0.1300  0.0000
 4372.000  1.0223  0.9459
 4372.020  0.9900  0.9554
 4372.040  0.9852  0.9544
 4372.060  0.9824  0.9590
 4372.080  0.9854  0.9619
 4372.100  0.9900  0.9776
 4372.120  0.9952  0.9795
 4372.140  1.0006  0.9820
 4372.160  1.0059  0.9766
 4372.180  1.0107  0.9659
 4372.200  1.0129  0.9570
 4372.220  1.0115  0.9545
 4372.240  1.0081  0.9592
 4372.260  1.0067  0.9695
 4372.280  1.0104  0.9770
 4372.300  1.0190  0.9814
 4372.320  1.0293  0.9753
 4372.340  1.0365  0.9658
 4372.360  1.0369  0.9559
 4372.380  1.0307  0.9465
 4372.400  1.0201  0.9422
 4372.420  1.0087  0.9370
 4372.440  0.9988  0.9324
 4372.460  0.9891  0.9160
 4372.480  0.9774  0.9161
 4372.500  0.9666  0.9101
 4372.520  0.9611  0.9016
 4372.540  0.9613  0.8928
 4372.560  0.9644  0.8916
 4372.580  0.9685  0.9017
 4372.600  0.9735  0.9139
 4372.620  0.9792  0.9250
 4372.640  0.9847  0.9336
 4372.660  0.9893  0.9374
 4372.680  0.9926  0.9394
 4372.700  0.9947  0.9422
 4372.720  0.9960  0.9460
 4372.740  0.9969  0.9495
 4372.760  0.9974  0.9499
 4372.780  0.9971  0.9453
 4372.800  0.9955  0.9351
 4372.820  0.9925  0.9222
 4372.840  0.9883  0.9117
 4372.860  0.9842  0.9082
 4372.880  0.9817  0.9142
 4372.900  0.9820  0.9279
 4372.920  0.9856  0.9444
 4372.940  0.9920  0.9571
 4372.960  0.9997  0.9605
 4372.980  1.0074  0.9519
 4373.000  1.0140  0.9328
 4373.020  1.0194  0.9079
 4373.040  1.0241  0.8830
 4373.060  1.0292  0.8627
 4373.080  1.0354  0.8493
 4373.100  1.0423  0.8422
 4373.120  1.0480  0.8396
 4373.140  1.0501  0.8395
 4373.160  1.0468  0.8408
 4373.180  1.0379  0.8441
 4373.200  1.0258  0.8503
 4373.220  1.0142  0.8601
 4373.240  1.0075  0.8726
 4373.260  1.0080  0.8862
 4373.280  1.0160  0.8987
 4373.300  1.0287  0.9087
 4373.320  1.0419  0.9164
 4373.340  1.0510  0.9231
 4373.360  1.0534  0.9304
 4373.380  1.0483  0.9393
 4373.400  1.0377  0.9494
 4373.420  1.0243  0.9591
 4373.440  1.0110  0.9661
 4373.460  0.9994  0.9693
 4373.480  0.9897  0.9689
 4373.500  0.9813  0.9662
 4373.520  0.9737  0.9633
 4373.540  0.9667  0.9618
 4373.560  0.9611  0.9620
 4373.580  0.9581  0.9631
 4373.600  0.9583  0.9639
 4373.620  0.9615  0.9634
 4373.640  0.9667  0.9619
 4373.660  0.9719  0.9603
 4373.680  0.9755  0.9597
 4373.700  0.9766  0.9604
 4373.720  0.9753  0.9615
 4373.740  0.9725  0.9613
 4373.760  0.9695  0.9584
 4373.780  0.9670  0.9526
 4373.800  0.9648  0.9454
 4373.820  0.9625  0.9396
 4373.840  0.9594  0.9380
 4373.860  0.9558  0.9418
 4373.880  0.9523  0.9503
 4373.900  0.9502  0.9607
 4373.920  0.9509  0.9696
 4373.940  0.9546  0.9745
 4373.960  0.9607  0.9749
 4373.980  0.9674  0.9722
 4374.000  0.9726  0.9687
 4374.020  0.9744  0.9661
 4374.040  0.9716  0.9647
 4374.060  0.9644  0.9632
 4374.080  0.9537  0.9599
 4374.100  0.9410  0.9540
 4374.120  0.9280  0.9467
 4374.140  0.9161  0.9408
 4374.160  0.9068  0.9395
 4374.180  0.9011  0.9446
 4374.200  0.8999  0.9552
 4374.220  0.9031  0.9676
 4374.240  0.9102  0.9773
 4374.260  0.9201  0.9810
 4374.280  0.9315  0.9778
 4374.300  0.9430  0.9705
 4374.320  0.9534  0.9634
 4374.340  0.9624  0.9605
 4374.360  0.9702  0.9634
 4374.380  0.9773  0.9701
 4374.400  0.9843  0.9768
 4374.420  0.9912  0.9793
 4374.440  0.9973  0.9758
 4374.460  1.0015  0.9678
 4374.480  1.0032  0.9592
 4374.500  1.0023  0.9545
 4374.520  1.0003  0.9558
 4374.540  0.9989  0.9620
 4374.560  0.9999  0.9692
 4374.580  1.0039  0.9730
 4374.600  1.0098  0.9707
 4374.620  1.0159  0.9633
 4374.640  1.0197  0.9547
 4374.660  1.0201  0.9498
 4374.680  1.0173  0.9513
 4374.700  1.0134  0.9582
 4374.720  1.0109  0.9657
 4374.740  1.0116  0.9676
 4374.760  1.0155  0.9594
 4374.780  1.0214  0.9409
 4374.800  1.0266  0.9169
 4374.820  1.0291  0.8947
 4374.840  1.0279  0.8812
 4374.860  1.0244  0.8793
 4374.880  1.0213  0.8868
 4374.900  1.0211  0.8979
 4374.920  1.0246  0.9061
 4374.940  1.0306  0.9080
 4374.960  1.0364  0.9044
 4374.980  1.0392  0.9002
 4375.000  1.0376  0.9011
 4375.020  1.0328  0.9106
 4375.040  1.0276  0.9274
 4375.060  1.0254  0.9461
 4375.080  1.0280  0.9596
 4375.100  1.0348  0.9628
 4375.120  1.0430  0.9551
 4375.140  1.0489  0.9409
 4375.160  1.0495  0.9274
 4375.180  1.0443  0.9211
 4375.200  1.0356  0.9248
 4375.220  1.0274  0.9365
 4375.240  1.0233  0.9507
 4375.260  1.0244  0.9613
 4375.280  1.0292  0.9647
 4375.300  1.0346  0.9612
 4375.320  1.0373  0.9542
 4375.340  1.0362  0.9481
 4375.360  1.0324  0.9455
 4375.380  1.0294  0.9459
 4375.400  1.0302  0.9468
 4375.420  1.0358  0.9445
 4375.440  1.0441  0.9369
 4375.460  1.0501  0.9234
 4375.480  1.0481  0.9042
 4375.500  1.0367  0.8787
 4375.520  1.0226  0.8438
 4375.540 -1.0000  0.7947
 4375.560 -1.0000  0.7274
 4375.580 -1.0000  0.6422
 4375.600 -1.0000  0.5466
 4375.620 -1.0000  0.4554
 4375.640 -1.0000  0.3870
 4375.660 -1.0000  0.3579
 4375.680 -1.0000  0.3766
 4375.700 -1.0000  0.4398
 4375.720 -1.0000  0.5336
 4375.740 -1.0000  0.6379
 4375.760 -1.0000  0.7334
 4375.780 -1.0000  0.8075
 4375.800  0.9707  0.8572
 4375.820  0.9746  0.8877
 4375.840  0.9777  0.9074
 4375.860  0.9765  0.9236
 4375.880  0.9709  0.9389
 4375.900  0.9631  0.9511
 4375.920  0.9555  0.9564
 4375.940  0.9489  0.9524
 4375.960  0.9420  0.9412
 4375.980  0.9316  0.9286
 4376.000  0.9147  0.9215
 4376.020  0.8903  0.9241
 4376.040  0.8611  0.9356
 4376.060  0.8322  0.9507
 4376.080  0.8098  0.9620
 4376.100  0.7989  0.9645
 4376.120  0.8018  0.9579
 4376.140  0.8176  0.9474
 4376.160  0.8423  0.9402
 4376.180  0.8699  0.9419
 4376.200  0.8945  0.9524
 4376.220  0.9129  0.9652
 4376.240  0.9247  0.9702
 4376.260  0.9324  0.9581
 4376.280  0.9390  0.9257
 4376.300  0.9469  0.8777
 4376.320  0.9568  0.8262
 4376.340  0.9674  0.7856
 4376.360  0.9763  0.7677
 4376.380  0.9816  0.7770
 4376.400  0.9831  0.8092
 4376.420  0.9823  0.8539
 4376.440  0.9815  0.8986
 4376.460  0.9822  0.9336
 4376.480  0.9850  0.9543
 4376.500  0.9891  0.9621
 4376.520  0.9935  0.9619
 4376.540  0.9971  0.9593
 4376.560  0.9993  0.9581
 4376.580  1.0001  0.9592
 4376.600  1.0003  0.9616
 4376.620  1.0006  0.9635
 4376.640  1.0015  0.9639
 4376.660  1.0032  0.9629
 4376.680  1.0056  0.9615
 4376.700  1.0086  0.9606
 4376.720  1.0118  0.9604
 4376.740  1.0152  0.9605
 4376.760  1.0183  0.9604
 4376.780  1.0207  0.9598
 4376.800  1.0219  0.9592
 4376.820  1.0217  0.9592
 4376.840  1.0200  0.9603
 4376.860  1.0174  0.9621
 4376.880  1.0146  0.9635
 4376.900  1.0124  0.9635
 4376.920  1.0107  0.9616
 4376.940  1.0090  0.9586
 4376.960  1.0064  0.9563
 4376.980  1.0017  0.9563
 4377.000  0.9948  0.9593
 4377.020  0.9862  0.9644
 4377.040  0.9773  0.9693
 4377.060  0.9702  0.9713
 4377.080  0.9663  0.9692
 4377.100  0.9664  0.9635
 4377.120  0.9703  0.9565
 4377.140  0.9770  0.9512
 4377.160  0.9849  0.9496
 4377.180  0.9925  0.9520
 4377.200  0.9991  0.9565
 4377.220  1.0042  0.9603
 4377.240  1.0080  0.9612
 4377.260  1.0107  0.9586
 4377.280  1.0123  0.9539
