           0.9700  1.0000
           0.1500  0.0000
 4697.000  0.8070  1.0451
 4697.020  0.8091  1.0449
 4697.040  0.8124  1.0438
 4697.060  0.8222  1.0419
 4697.080  0.8369  1.0313
 4697.100  0.8475  1.0317
 4697.120  0.8443  1.0337
 4697.140  0.8269  1.0369
 4697.160  0.8061  1.0431
 4697.180  0.7954  1.0301
 4697.200  0.7977  1.0353
 4697.220  0.8029  1.0227
 4697.240  0.8027  1.0403
 4697.260  0.8035  1.0357
 4697.280  0.8107  1.0398
 4697.300  0.8160  1.0357
 4697.320  0.8128  1.0337
 4697.340  0.8074  1.0447
 4697.360  0.8096  1.0421
 4697.380  0.8193  1.0319
 4697.400  0.8288  1.0293
 4697.420  0.8350  1.0466
 4697.440  0.8382  1.0429
 4697.460  0.8351  1.0306
 4697.480  0.8254  1.0418
 4697.500  0.8173  1.0380
 4697.520  0.8150  1.0482
 4697.540  0.8161  1.0423
 4697.560  0.8207  1.0367
 4697.580  0.8327  1.0382
 4697.600  0.8509  1.0355
 4697.620  0.8654  1.0313
 4697.640  0.8703  1.0291
 4697.660  0.8746  1.0269
 4697.680  0.8858  1.0427
 4697.700  0.8937  1.0306
 4697.720  0.8891  1.0309
 4697.740  0.8807  1.0400
 4697.760  0.8775  1.0358
 4697.780  0.8758  1.0435
 4697.800  0.8706  1.0444
 4697.820  0.8638  1.0425
 4697.840  0.8578  1.0386
 4697.860  0.8513  1.0398
 4697.880  0.8383  1.0318
 4697.900  0.8154  1.0339
 4697.920  0.7882  1.0366
 4697.940  0.7655  1.0304
 4697.960  0.7525  1.0343
 4697.980  0.7528  1.0393
 4698.000  0.7683  1.0309
 4698.020  0.7928  1.0322
 4698.040  0.8179  1.0379
 4698.060  0.8429  1.0326
 4698.080  0.8675  1.0346
 4698.100  0.8868  1.0365
 4698.120  0.8999  1.0450
 4698.140  0.9108  1.0310
 4698.160  0.9198  1.0310
 4698.180  0.9262  1.0304
 4698.200  0.9316  1.0261
 4698.220  0.9365  1.0245
 4698.240  0.9385  1.0274
 4698.260  0.9333  1.0266
 4698.280  0.9186  1.0231
 4698.300  0.8984  1.0335
 4698.320  0.8789  1.0181
 4698.340  0.8641  1.0436
 4698.360  0.8555  1.0348
 4698.380  0.8498  1.0458
 4698.400  0.8421  1.0276
 4698.420  0.8375  1.0332
 4698.440  0.8477  1.0326
 4698.460  0.8689  1.0090
 4698.480  0.8872  1.0158
 4698.500  0.9042  1.0206
 4698.520  0.9245  1.0203
 4698.540  0.9370  1.0191
 4698.560  0.9323  1.0237
 4698.580  0.9143  1.0326
 4698.600  0.8875  1.0339
 4698.620  0.8525  1.0303
 4698.640  0.8131  1.0359
 4698.660  0.7760  1.0349
 4698.680  0.7433  1.0264
 4698.700  0.7154  1.0369
 4698.720  0.6994  1.0369
 4698.740  0.7015  1.0204
 4698.760  0.7189  1.0263
 4698.780  0.7437  1.0249
 4698.800  0.7702  1.0227
 4698.820  0.7979  1.0356
 4698.840  0.8247  1.0212
 4698.860  0.8395  1.0232
 4698.880  0.8372  1.0356
 4698.900  0.8306  1.0364
 4698.920  0.8352  1.0291
 4698.940  0.8518  1.0334
 4698.960  0.8697  1.0219
 4698.980  0.8794  1.0312
 4699.000  0.8826  1.0258
 4699.020  0.8850  1.0162
 4699.040  0.8861  1.0185
 4699.060  0.8818  1.0233
 4699.080  0.8701  1.0206
 4699.100  0.8513  0.9991
 4699.120  0.8295  1.0294
 4699.140  0.8078  1.0139
 4699.160  0.7854  1.0180
 4699.180  0.7624  1.0121
 4699.200  0.7408  1.0121
 4699.220  0.7246  1.0101
 4699.240  0.7180  1.0071
 4699.260  0.7167  1.0082
 4699.280  0.7115  0.9953
 4699.300  0.7042  1.0010
 4699.320  0.7062  0.9843
 4699.340  0.7219  0.9967
 4699.360  0.7423  0.9790
 4699.380  0.7566  0.9759
 4699.400  0.7669  0.9744
 4699.420  0.7784  0.9717
 4699.440  0.7829  0.9556
 4699.460  0.7746  0.9658
 4699.480  0.7664  0.9524
 4699.500  0.7715  0.9311
 4699.520  0.7910  0.9140
 4699.540  0.8199  0.8885
 4699.560  0.8504  0.8647
 4699.580  0.8727  0.8291
 4699.600 -1.0000  0.7924
 4699.620 -1.0000  0.7516
 4699.640 -1.0000  0.6683
 4699.660 -1.0000  0.5944
 4699.680 -1.0000  0.5083
 4699.700 -1.0000  0.3868
 4699.720 -1.0000  0.2943
 4699.740 -1.0000  0.2236
 4699.760 -1.0000  0.2165
 4699.780 -1.0000  0.2505
 4699.800 -1.0000  0.3463
 4699.820 -1.0000  0.4577
 4699.840 -1.0000  0.5611
 4699.860 -1.0000  0.6511
 4699.880 -1.0000  0.7052
 4699.900 -1.0000  0.7714
 4699.920  0.8593  0.8107
 4699.940  0.8516  0.8408
 4699.960  0.8478  0.8636
 4699.980  0.8565  0.8803
 4700.000  0.8707  0.8975
 4700.020  0.8803  0.9066
 4700.040  0.8905  0.9054
 4700.060  0.9071  0.9020
 4700.080  0.9238  0.9083
 4700.100  0.9364  0.9251
 4700.120  0.9458  0.9380
 4700.140  0.9484  0.9631
 4700.160  0.9425  0.9652
 4700.180  0.9294  0.9761
 4700.200  0.9047  0.9838
 4700.220  0.8682  0.9927
 4700.240  0.8388  1.0003
 4700.260  0.8317  0.9893
 4700.280  0.8359  0.9932
 4700.300  0.8339  1.0121
 4700.320  0.8216  0.9995
 4700.340  0.8039  1.0057
 4700.360  0.7898  1.0120
 4700.380  0.7835  1.0119
