Table A.2
Molecular Features

   H_{2} 1-0

4712.9   S1

      CN 0-2

4360.967 blend
4372.386 P_{1}57.5
4381.286 P_{2}56.5
4388.164 Q_{2}66.5                   
4392.314 P_{1}56.5
4400.427 Q_{1}66.5
4401.336 P_{2}55.5
4407.837 Q_{2}65.5
4421.118 P_{2}54.5                     
4431.319 P_{1}54.5
4438.740 Q_{1}64.5
4446.334 Q_{2}63.5
4457.468 Q_{1}63.5
4459.818 P_{2}52.5
4465.154 Q_{2}62.5
4469.202 P_{1}52.5
4475.908 Q_{1}62.5
4478.761 P_{2}51.5
4483.699 Q_{2}61.5
4487.711 P_{1}51.5
4497.416 P_{2}50.5
4505.931 P_{1}50.5
4511.928 Q_{1}60.5
4515.801 P_{2}49.5
4519.928 Q_{2}59.5
4523.873 P_{1}49.5
4529.506 Q_{1}59.5
4537.618 Q_{2}58.5
4546.795 Q_{1}58.5
4551.719 P_{2}47.5
4555.020 Q_{2}57.5
4558.896 P_{1}47.5
4563.793 Q_{1}57.5                     
4569.267 P_{2}46.5
4572.142 Q_{2}56.5
4580.503 Q_{1}56.5
4586.514 P_{2}45.5
4588.976 Q_{2}55.5
4592.758 P_{1}45.5
4596.921 Q_{1}55.5
4603.498 P_{2}44.5
4609.261 P_{1}44.5
4613.055 Q_{1}54.5                     
4620.195 P_{2}43.5
4621.789 Q_{2}53.5
4636.614 P_{2}42.5
4637.762 Q_{2}52.5
4644.442 Q_{1}52.5
4653.453 Q_{2}51.5
4659.699 Q_{1}51.5
4668.609 P_{2}40.5
4668.858 Q_{2}50.5
4672.360 P_{1}40.5
4683.977 Q_{2}49.5
4684.183 P_{2}39.5
4687.403 P_{1}39.5
4689.330 Q_{1}49.5
4698.809 Q_{2}48.5
4699.475 P_{2}38.5
4703.712 Q_{1}48.5
4713.354 Q_{2}47.5                     
4714.490 P_{2}37.5
4716.612 P_{1}37.5
4717.799 Q_{1}47.5
4721.612 R_{2}59.5
4727.613 Q_{2}46.5
4727.738 R_{1}59.5
4729.223 P_{2}36.5
4730.772 P_{1}36.5
4731.592 Q_{1}46.5
4736.179 R_{2}58.5
4741.586 Q_{2}45.5
4741.919 R_{1}58.5
4744.640 P_{1}35.5
4750.460 R_{2}57.5
4755.270 Q_{2}44.5
4755.793 R_{1}57.5
4757.843 P_{2}34.5
4758.250 blend
4768.671 Q_{2}43.5
4769.376 R_{1}56.5
4771.476 P_{1}33.5
4771.730 P_{2}33.5
4778.144 R_{2}55.5
4782.652 R_{1}55.5
4783.809 Q_{1}42.5
4784.446 P_{1}32.5
4785.345 P_{2}32.5
4791.544 R_{2}54.5
4797.118 P_{1}31.5
4804.648 R_{2}53.5
4807.143 Q_{2}40.5
4809.487 P_{1}30.5
4811.720 P_{2}30.5
4817.461 R_{2}52.5
4819.393 Q_{2}39.5
4819.853 Q_{1}39.5
4824.491 P_{2}29.5
4829.988 R_{2}51.5
4832.797 R_{1}51.5
4833.323 P_{1}28.5
4836.985 P_{2}28.5
4842.195 R_{2}50.5
4842.398 Q_{1}37.5
4843.038 Q_{2}37.5
4844.770 P_{1}27.5
4849.197 P_{2}27.5
4853.260 Q_{1}36.5
4855.931 P_{1}26.5
4861.134 P_{2}26.5
4863.746 Q_{1}35.5
4865.534 Q_{2}35.5
4865.758 R_{2}48.5
4866.772 P_{1}25.5
4867.256 R_{1}48.5
4872.792 P_{2}25.5
4873.964 Q_{1}34.5
4876.353 Q_{2}34.5
4877.100 R_{2}47.5
4877.306 P_{1}24.5
4878.131 R_{1}47.5
4883.884 Q_{1}33.5
4884.179 P_{2}24.5
4887.529 P_{1}23.5
4888.140 R_{2}46.5
4888.714 R_{1}46.5
4893.498 Q_{1}32.5
4895.290 P_{2}23.5
4897.134 Q_{2}32.5
4897.436 P_{1}22.5
4898.941 blend
4902.814 Q_{1}31.5
4906.128 P_{2}22.5
4907.063 blend
4908.973 R_{1}44.5
4909.338 R_{2}44.5
4911.823 Q_{1}30.5
4916.308 P_{1}20.5
4916.734 blend
4918.650 R_{1}43.5
4919.500 R_{2}43.5
4920.526 Q_{1}29.5
4925.261 P_{1}19.5
4926.169 Q_{2}29.5
4926.994 P_{2}20.5
4928.016 R_{1}42.5
4928.923 Q_{1}28.5
4929.368 R_{2}42.5
4933.891 P_{1}18.5
4935.284 Q_{2}28.5
4937.023 blend
4938.940 R_{2}41.5
4942.195 P_{1}17.5
4944.112 Q_{2}27.5
4944.795 Q_{1}26.5
4945.857 R_{1}40.5
4946.787 P_{2}18.5
4948.220 R_{2}40.5

      CN 1-3

4362.567 Q_{1}57.5
4369.415 P_{2}46.5
4376.029 P_{1}46.5
4379.242 Q_{1}56.5
4386.623 P_{2}45.5
4387.761 Q_{2}55.5
4392.751 P_{1}45.5
4395.633 Q_{1}55.5
4403.543 P_{2}44.5                    
4404.281 Q_{2}54.5
4409.200 P_{1}44.5
4411.736 Q_{1}54.5
4420.185 P_{2}43.5
4420.513 Q_{2}53.5
4424.723 R_{2}65.5
4425.357 P_{1}43.5
4427.547 Q_{1}53.5
4436.505 blend
4441.061 R_{2}64.5
4441.216 P_{1}42.5                     
4443.069 Q_{1}52.5
4452.123 Q_{2}51.5
4452.630 P_{2}41.5
4456.785 P_{1}41.5
4457.107 R_{2}63.5
4458.298 Q_{1}51.5
4467.507 Q_{2}50.5
4468.427 P_{2}40.5
4472.071 P_{1}40.5
4473.236 Q_{1}50.5
4480.147 R_{1}62.5
4483.947 P_{2}39.5
4487.056 P_{1}39.5
4487.881 Q_{1}49.5
4495.218 R_{1}61.5
4497.405 Q_{2}48.5
4499.190 P_{2}38.5
4502.234 Q_{1}48.5                     
4509.993 R_{1}60.5
4511.926 Q_{2}47.5
4516.154 P_{1}37.5
4516.295 Q_{1}47.5
4518.363 R_{2}59.5
4524.471 R_{1}59.5                     
4526.160 Q_{2}46.5
4528.825 P_{2}36.5
4530.061 Q_{1}46.5
4530.261 P_{1}36.5
4538.652 R_{1}58.5
4544.071 P_{1}35.5
4547.232 R_{2}57.5
4552.536 R_{1}57.5
4553.772 Q_{2}44.5
4556.711 Q_{1}44.5
4557.343 P_{2}34.5
4557.583 P_{1}34.5
4561.227 R_{2}56.5
4567.145 Q_{2}43.5
4570.803 P_{1}33.5
4571.180 P_{2}33.5
4579.411 R_{1}55.5
4580.236 Q_{2}42.5
4582.182 Q_{1}42.5
4583.720 P_{1}32.5
4584.739 P_{2}32.5
